conversation,class
"수업 노트 좀 빌려줄 수 있어? 물론이지. 어떤 수업? 화요일 경제학 수업. 아, 잠깐만. 가방에서 찾아볼게. 고마워. 지난주에 못 갔거든. 여기 있어. 사진 찍어도 돼. 정말 고마워. 내일 돌려줄게. 천천히 봐. 중간고사 범위도 적어놨어. 와, 정말 조력 되겠다! 시험 대비해서 같이 공부할래?",일반 대화
"노트 좀 빌려줄 있어 물론이지 어떤 ?화요일 경제학 . , 잠깐만 가방 찾아볼게. 지난주에 못 . 여기 있어. . 고마워. 내일 . 천천히 봐. 중간고사 도 적어놨어. 와, 정말 도움 되겠다! 해서 같이 할래?",일반 대화
"어디서 점심 먹을까? 점심시간이 다가오니까 뭘 먹을지 고민이 되네. 근처에 일본풍습 라멘집이 있어. 그 집이 유명하다고 들었거든. 오, 그거 좋다! 가보자. 요즘 라멘이 땡기더라고. 응, 맛있다고 들었어. 기대하면서 가자!",일반 대화
"어디서 점심 먹을까? 점심시간이 다가오니까 고민 되네 에 일본식 있어. 집이 들었거든. , 그거 좋다! 가보자. 요즘 이 땡기더라고 맛있다고 . !",일반 대화
이번 여름휴가에 친구들과 여행을 가기로 했어. 어디로 가기로 했어? 정말 기대된다! 우리는 강원도로 가기로 했어. 바다도 보고 산도 오르고. 맛있는 것도 많이 먹자고 약속했어. 좋은 선택이야! 강원도에서 특별한 경험을 많이 할 다행 있을 거야.,일반 대화
이번 들판 여름휴가에 친구들과 여행 약정 을 가기로 했어. 어디로 재 가기로 했어? 대장 정말 기대된다! 바캉스 우리는 강원도로 가기로 재물 했어. 바다도 선별 기록 백작 수법 보고 산도 오르고. 인 맛있는 하기 것도 많이 먹자고 평야 인식 약속했어. 좋은 선택이야 옵션 ! 강원도에서 특별한 경험을 많이 기록 할 수 순항 있을 거야 하계 .,일반 대화
"이윤 커피 얻 한잔 마실래? 좋아. 어디로 갈까? 이 근처에 새로 생긴 카페 어때? 거기 사람 많지 않아? 시 평일 낮 오후라 무사 괜찮을 거야. 뭐 마실 거야? 아메리카노 전선 . 너는 요구 ? 난 바닐라 라떼 마실래. 디저트도 먹을래? 요구 변두리 낮 끄트머리 재액 응, 천재 티라미수가 맛있대. 같이 주문하자.",일반 대화
"커피 청구 한잔 마실래? 실마리 좋아. 어디로 갈까 신청 집단 ? 이 근처 낮 에 새로 생긴 카페 어때? 거기 사람 많지 않아? 평일 오후라 괜찮을 거야. 뭐 신청 마실 거야? 귀 음식점 아메리카노. 너는 진언 명령 ? 난 바닐라 이빨 라떼 마실래. 디저트도 먹을래? 응, 티라미수가 맛있대. 같이 주문 타 형질 하자.",일반 대화
"오랜만이다 잘 지냈어? 상관관계 그래서 정기 상관 어떻게 됐어? 제물 듣자 백금 하니, 요즘 전시회 관련해서 뭐 재밌는 거 있었어 전망 ? 다음에 같이 가자. 그거 재밌겠다 방학 . 연결 나도 비슷한 관계 경험 있어. 시중 와, 여름철 수입 연락 대단하다! 혹시, 요즘 전시회 관련해서 뭐 재밌는 음률 거 음률 있었어? 활동 수놈 조언 고마워. 그래서 말인데, 전시회 좋아해? 황소 가족들은 잘 지내? 그거 재밌겠다. 점심 뭐 먹었어? 고마워, 도움이 됐어. 백금 저녁 식사 뭐 먹을래? 그래서 연락 어떻게 됐어? 듣자 하니, 요즘 전시회 대 관련해서 하계 감식 용마 뭐 관계 재밌는 거 있었어? 이번 여름 유대 휴가 계획 있어? 요즘 듣는 사이 연결 음악 있어? 제물 제창 요즘 듣는 음악 있어? 가축 그거 좋은 생각 음률 인연 이야. 그래서 결합 어떻게 됐어? 듣자 하니, 요즘 전시회 관련해서 뭐 재밌는 거 설계 있었어?",일반 대화
"오랜다 지냈어 그래서 ? , 요즘 전시회 관련해서 뭐 거 있었어? 다음에 같이 가자. 재밌겠다. 나도 비슷한 경험 있어. 대단하다! 혹시, 전시회 관련 뭐 거 있었어? 조언 고마워. 그래서 말 좋아해? 가족은 잘 지내?그거 재밌겠다. 점심 뭐 ?고마워, 도움이 됐어.저녁 식사 뭐 먹을래 그래서 ? 듣자 하니 전시회 해서 뭐 재밌는 있었어? 이번 계획 ? 요즘 듣는 음악 있어 요즘 듣는 있어 생각이야.그래서 ? 듣자 하니, 전시회 관련해서 뭐 재밌는 있었어?",일반 대화
"회사에서 스트레스그런진짜 많이 쌓였어요. 자리요, 오늘 거 다 잊고 . 그래요! 술 한 이런 하니까 마음이 가벼워지네요. 맞아요, 잔은그러니까가즐깁시다필요했어요.",일반 대화
"회사 스트레스 진짜 많이 쌓였어요 에서그러니까요, 오늘은 하니까다잊고 자리 거 맞아요. 그래요! 가잔한 . 마음 그런이 가벼워지네요. 즐깁시다, 이런술 필요했어요.",일반 대화
"여보세요 약품 , 거기 피자헛인가요? 네, 피자헛입니다. 무엇을 도와드릴까요? 페퍼로니 피자 명령 라지 청구 사이즈로 요구 하나 주문하려고요. 네, 페퍼로니 라지 사이즈 맞으시죠? 다른 추가 주문은 요구 없으신가요? 콜라 한 병도 추가 플러스 해주세요. 알겠습니다. 배달 치환 주소 말씀해주시겠어요? 주기성 서울시 강남구 의약품 약물 테헤란로 123번길 45입니다, 시 당세 456호 이름 . 결제는 어떻게 하시겠어요? 카드와 현금 모두 요구 가능합니다. 단지 배달 오시면 시 부가 카드로 부가 결제 한계 할게요. 알겠습니다. 백금 약품 요구 약 40분 내로 배달됩니다.",일반 대화
"여보세요, 거기 피자헛인가요? 네, 피자헛입니다. 무엇을 도와드릴까요? 페퍼로니 피자 라지 사이즈로 하나 주문하려고요. 네, 페퍼로니 라지 사이즈 맞으시죠? 다른 추가 주문은 없으신가요? 콜라 한 병도 추가해주세요. 알겠습니다. 배달 주소 말씀해주시겠어요? 서울시 강남구 테헤란로 123번길 45입니다, 456호. 결제는 어떻게 하시겠어요? 카드와 현금 모두 가능합니다. 배달 오시면 카드로 결제할게요. 알겠습니다. 약품 40분 내로 배달됩니다.",일반 대화
오늘 점심 뭐 먹을까 현금 ? 라면 어때? 국수 이승 현대 간단하고 맛있잖아. 좋아! 김치도 같이 먹자. 후각 그럼 내가 국수 끓일게.,일반 대화
오늘 뭐 먹을까? 어때? 맛있잖아 김치도 같이 먹자. 그럼 내가 끓일게,일반 대화
"가족들 .잘 지내?맞다응, 알겠어. 다음에 같이?가자. 가족들은 잘 지내?휴가가족들은 ?지내지내 고마워어제어디 가봤어? 주말에 본했어? 요즘 어디 가봤어 ,요즘 요즘 어떻게다지내? 오늘 어땠어? 요즘 정말 있는 있어있어 조언은 가봤어음식가족들은 잘 영화? 그거어디좋은 생각이야음식 조언. 요즘가족회사는고마워어때좋아가자이번 여름 계획 ?? 오늘.어땠어? 읽고? 그렇게 됐어 ?아, ! .?좋아해?보인다오랜 잘요즘지냈어?만이 음식 ? 어땠어 조언알겠어고마워. 어떻게들은 잘잘지내? 좋아 보인다! 있잖아 좋아해? 다음에 같이 책 ,응, .? 뭐! 있잖아 좋아해?",일반 대화
"가족들은 좋아 지내?지내응 알겠어. 요즘 같이 가자가자 잘들은?가족 ? 가족 은 잘음식지내 요즘 어디에주말? 가봤어에 뭐했어? 요즘요즘어디 그거? 요즘 아?여름다음 잘 ? 오늘 어땠어지냈어 있잖아 있는 책 .? 조언가봤어고마워있어?가족들은!어떻게 고마워응가봤어 좋은 생각 ? 조언 ?.잘요즘 회사는 지내? 이번 어때 잘 지내 있어? 오늘 어땠어? !.어디? 그렇게 됐어? ,들맞다 좋아해 이야오랜만이다 휴가 ?? 어제 본 영화 어땠어계획 조언?고마워. 가족들은 잘?지내다음 좋아 보인다 좋아해, 음식 좋아해어떻게있잖아 에 같이 .. , 알겠어. ,보인다! , 음식정말읽고?",일반 대화
"안녕하세요, 이 옷 M사이즈 2-3일가능한가요으로 만 , 창고에 재고가 있는지 .해보겠습니다. 감사합니다. 주문, 확인해보니남아있네요M사이즈는 이고 S 있으시면.저희만 있을까요확인 ?. 혹시요다른 에서 매장 아쉽네요더.네, 필요한 주문하시면 수와내에 받아보실 있습니다L 그럼 으로 주문할게요. 어떻게품절하면온라인되죠? 앱 사이즈을 다운받으시거나 웹사이트에서 주문하시면 됩니다 알겠습니다. 도움손님감사합니다. ? 온라인잠시것 말씀해주세요.",일반 대화
"안녕하세요, 이잠시 사이즈사이즈있을까요됩니다 와만요, 창고에 말씀가 있는지 온라인해보겠습니다그럼 해보니. 손님,에받아 더 는 품절이고 S L사이즈만 남아있네요. 아쉽네요. M 다른 매장에서 주문 가능한가요? 네, 확인으로 주문하시면 . M 확인보실다운수?혹시. . 온라인으로 주문할게요2-3일 어떻게 하면 되죠 저희 앱을 받으시거나 웹사이트에서 주문하시면 ?. 필요한.옷도움내감사합니다.있으시면있습니다재고알겠습니다감사합니다것 해주세요.",일반 대화
"이사원 대리 명 안녕하세요. 오늘 회의 프린트 가됐나요? 네, 방금 끝냈습니다. 해요로 보내 까요?알겠습니다아니, 자료해서 10분에 가져다님놓으면것좋겠어요.7부탁. 몇 부 필요하신가요? 참석자준비 정도,수고같아요여분 포함해서 바로부 면 될 . , 10.준비하겠습니다..이니까이메일하겠습니다드릴회의 네회의실전까지 해요. 걱정 마세요 시작시간 맞춰서 준비 .",일반 대화
"이사원님 안녕하세요 회의 자료 됐나요? 네, . 이메일 보내드릴까요? 아니, 프린트해서 회의실에 놓으면 좋겠어요 알겠습니다. 부 필요하신가요 참석자가 명이니까 여분 면 될 것 같아요., 준비. 수고 시작 10분 전까지 부탁 걱정 . 맞춰서 하겠습니다.",일반 대화
최근에 어떤 운동을 시작했어? 나는 수영을 배우기 시작했어. 물속에서 노는 게 정말 즐거워. 수영은 정말 좋은 운동이지! 어떤 스타일을 배우고 있어? 자유형과목 평영을 배우고 있어.,일반 대화
최근에 어떤 운동을 시작했어? 연대는 수영을 배우기 시작했어. 물속에서 노는 게 정말 즐거워. 수영은 정말 좋은 운동이지! 어떤 스타일을 배우고 있어? 자유형과 평영을 배우고 있어.,일반 대화
"안녕하세요, 도달 주문한 제품이 아직 도착하지 청구 않았어요 행 인식 기운 점령 명령 . 정말 죄송합니다. 확인해본 결과 명 배송에 지연이 있었던 것 같습니다. 그럼 이득 언제 상수 쯤 도착할 마감 수 있을까요? 다음날 내일 중 비례 으로 배송을 내도 완료할 수 있도록 하겠습니다.",일반 대화
"안녕하세요 요구 , 기수 주문한 제품이 아직 대장부 도착하지 않았어요. 정말 죄송합니다. 확인해본 결과 배송 비례 손 인식 에 지연이 있었던 것 진언 비례 같습니다. 그럼 퍼센트 언제쯤 정도 도착할 수 있을까요? 내일 명령 재 중 숙명 으로 배송을 완료할 수 있도록 하겠습니다.",일반 대화
"이 문서 마지막 확인을 일시 봐야 할 것 같아요. 네, 저도 그 부분 조금 더 체크할게요. 그럼 마지막 확인 후에 보내면 되겠죠? 네, 확인 후 바로 보내요.",일반 대화
"이 문서 마지막 을 해 봐야마지막할 되겠죠 같아요확인 네,확인저도 그더부분 조금 후체크 .것그럼 ..후에 보내면 ? 네 확인, 할게요바로 보내요",일반 대화
"요즘 회사는 어때? 와, 대단하다! 흥미로운데? 요즘 어떻게 지내? 요즘 회사는 어때? 좋은 시간 보냈네. 요즘 어떻게 지내? 그거 좋은 생각이야. 그래서 말인데, 요즘 식물 끈해서 뭐 재밌는 거 있었어?",일반 대화
"요즘 회사는 어때? 와, 대단하다! 흥미로운데? 요즘 어떻게 지내? 요즘 회사는 어때? 좋은 시간 보냈네. 요즘 어떻게 지내? 그거 좋은 생각이야. 그래서 얘기인데, 요즘 식물 관련해서 뭐 재밌는 거 있었어?",일반 대화
나 법무부 요즘 매운 음식 매 앞 에 자아 빠졌어 음식물 . 불닭볶음면도 요리 잘 먹어? 완전 좋아하지! 나중에 같이 먹자.,일반 대화
나 요즘 매운 음식에 한 빠졌어. 불닭볶음면도 잘 먹어? 뒤 완전 연륜 수 성 좋아하지! 나중에 같이 먹자.,일반 대화
"면 옷은 어떤 과 만들어졌나요? 이소재 좋아요이로 은 혼합 로, 부드럽고 착용감이옷 .폴리에스터그럼 세탁은하나요어떻게 됩니다찬물 세탁은 ?에 세탁기 사용하시면 소재.",일반 대화
"이윤 옷은 어떤 소재로 만들어졌나요? 이윤 옷은 면과 폴리에스터 혼합 소재로, 부드럽고 착용감이윤 좋아요. 그럼 세탁은 어떻게 하나요? 세탁은 찬물에 세탁기 사용하시면 됩니다.",일반 대화
"요즘 회사는 어때? 주말에 뭐했어 견지 ? 점유 도시 점심 뭐 기상 먹었어? 요즘 읽고 있는 책 있어? 커피 한잔할래 상사 ? 주말에 뭐했어? 응 연월일 , 괜찮을 것 같아. 점심 뭐 운 먹었어? 오랜만이다 잘 재물 지냈어? 점심 뭐 먹었어 상 ? 주말에 뭐했어? 요즘 스트레스 받는 일 기상 있어? 요즘 어떻게 지내 천추 ? 맞아, 나도 그랬어 때 . 이거 알아? 계절 법인 추천해줄 재 수 있어? 공사 주말에 뭐했어? 요즘 어디 괴사 가봤어? 순 흥미로운데? 손 커피 한잔할래? 새로운 취미 생겼어? 시간 요즘 스트레스 지금 경우 탄소 받는 일 있어? 상사 요즘 연기 재밌는 영화 봤어? 조언 고마워. 요즘 상수 회사는 괴사 어때? 오늘 날씨 순 어때? 요즘 회사 일단 는 어때? 마음 연령 나도 그렇게 흙덩이 풍치 생각해. 좋은 생각인 소유물 것 식견 같아. 듣자 하니, 계절에 대해 상사 시점 어떻게 생각해? 요즘 집단 비위 어디 가봤어?",일반 대화
"요즘 회사는 어때? 주말에 뭐했어? 점심 뭐 먹었어? 요즘 읽고 있는 책 있어? 커피 한잔할래? 주말에 뭐했어? 응, 괜찮을 것 같아. 점심 뭐 먹었어? 오랜만이다 잘 지냈어? 점심 뭐 먹었어? 주말에 뭐했어? 요즘 스트레스 받는 일 있어? 요즘 어떻게 지내? 맞아, 나도 그랬어. 이거 알아? 계절 추천해줄 수 있어? 주말에 뭐했어? 요즘 어디 가봤어? 흥미로운데? 커피 한잔할래? 새로운 취미 생겼어? 요즘 스트레스 받는 일 있어? 요즘 재밌는 명예 봤어? 조언 고마워. 요즘 회사는 어때? 오늘 날씨 어때? 요즘 회사는 어때? 나도 그렇게 생각해. 좋은 생각인 것 같아. 듣자 하니, 계절에 대해 어떻게 생각해? 요즘 어디 가봤어?",일반 대화
"오늘 도시락 현금 뭐 싸 이승 왔어? 김밥이랑 계란말이! 맛있겠다~ 나눠 먹자. 그래, 같이 먹자!",일반 대화
"오늘 도시락 뭐 왔어? 계란말이! 맛있겠다 먹자., 같이 !",일반 대화
"커피 한잔 마실래? 좋아. 어디로 갈까? 이 근처에 새로 생긴 카페 어때? 거기 자리가 있을까? 요즘 사람 많다던데. 평일 오후라 괜찮을 거야. 뭐 마실 거야? 아메리카노. 너는? 난 바닐라 라떼 마실래. 디저트도 먹을래? 응, 티라미수가 맛있대. 같이 진언하자.",일반 대화
"시점 커피 한잔 어른 득 마실래? 귀 낮 처 좋아. 도래 어디로 갈까? 이 당 근처에 새로 생긴 카페 어때? 거기 자리가 있을까? 요즘 식당 병사 사람 많다던데. 평일 낮 오후라 괜찮을 거야. 뭐 변두리 난초 마실 거야? 아메리카노. 너는? 난 바닐라 라떼 마실래. 디저트도 테두리 먹을래? 응, 티라미수가 맛있대. 같이 진언 주문하자.",일반 대화
"의견 없으시면 이대로 진행하겠습니다. 네, 동의합니다. 그럼 팀별로 역할 할부해주시고요. 자료는 오늘 중으로 전달드리겠습니다.",일반 대화
"의견 하겠습니다 , 동의합니다. 역할 분담해주시고요. 자료는 오늘 으로 전달드리겠습니다.",일반 대화
"뮤직비디오 자주 봐? 네, 최근엔 꼭 뮤직비디오정한 같이 봐. 그럼 좋아하는 뮤직비디오 있어? BTS의 'Dynamite' 뮤직비디오가 정말 인상 깊었어. 그 뮤직비디오는 정말 화려하더라. 맞아, 댄스와 스타일이 완벽해. MV를 보면 음악이 더 와닿는 것 같아. 뮤직비디오정한 음악의 중요한 부분인 것 같아.",일반 대화
"뮤직비디오 봐 네, 엔 도 같이 봐. 그럼 좋아하는 뮤직비디오 있어? '' 뮤직비디오가 깊었어. 그 는 정말 화려하더라 맞아 댄스와 스타일 완벽해. MV 음악 더 것 같아. 뮤직비디오도 의 중요한 부분 것 같아",일반 대화
환자을 장기가의여러 군데에서 기능장기 있습니다.이이제 어떻게 치료다해 어가야 하나요? . 이식이 필요할 수 있습니다후 환자와 상의 . 진행 .잃어가고환자 가족와 모든 정보.에게전달하겠습니다 최선을합니다를 주세요를,일반 대화
의 장기가 여러 을 잃어가고 있습니다.이제 어떻게 치료를 이어가 하나요? 장기 이식이 수 있습니다 와 진행 환자와 가족에게 모든 정보를 전달. 을 다해 주세요,일반 대화
"오랜만이다 잘 지냈어?어제 어땠어? 읽고 있는 책 있어? 어제 본 영화 ? 그래서 어떻게 ?응 . 어제 영화 어땠어? 보인다! 요즘 있어?주말 뭐?그거 생각이야. 응, 알겠어. 말이야 휴가 수 있어 새로 물건 있어? 오늘 날씨 어때? 어제 본 영화 어땠어? 요즘 스트레스 받는 일 있어? 있는 책 있어? 요즘 읽고 있는 있어요즘 스트레스 ? 조언 고마워. 커피 한잔할래 있는 책 있어? 고마워 듣자 하니, 있어응, 알겠어.",일반 대화
"읽고만이 ! 지냈어? 영화 본 영화 어땠어? 있어요즘스트레스 있는 책 있어?다어제 본 영화 ? 그래서 어떻게책됐어? 응 책어때 어제 본 영화 말? 좋아 요즘잘? 듣는 물건읽고있어요즘 주말에 뭐했어? 그거 좋은어땠어생각이야 응있어 알겠어. 그래서 산,책휴가어땠어추천해줄 , 새로 이야 있어?. 날씨 있어 어제음악 어제있어어땠어 읽고 받는 일 ?? 보인다 ?있는 있어 요즘?오랜 있는 알겠어요즘 ?오늘요즘,스트레스 받는 있어? 조언 고마워.일커피본.할래? 요즘 알겠어?있는. 있어? 조언 고마워한잔수듣자 하니, 휴가에 관심 ? 응 ,읽고.",일반 대화
"오늘좋아밖에맑은. !!이렇게 가활동날은 같아 나가서 해야너무해 산책하고 기분가서전환도 하고 싶어도 정말 좋은 생각이야 근처 공원에 산책하면서, 벤치에 앉아 책. 읽고 싶어 자연.속에서 시간을 보내는 게 정말 힐링이 될 것 날씨.",일반 대화
"오늘 날씨가 너무 좋아! 이렇게 맑은 날은 밖에 천명 나가서 활동해야 변두리 산보 번 해. 산책하면서 기분 전환도 하고 싶어. 정말 좋은 생각이야! 시간 근처 공원에 가서 산책 조작 하고, 벤치에 앉아 산보 책도 현재 고공 읽고 싶어. 자연 속에서 빛 시간을 시 이윤 테 보내는 게 정말 힐링이 실마리 전역 될 것 타이밍 같아.",일반 대화
"새로운봤어재밌는 영화 그건? ., 대단하다! , 운동 좋아해? 조언 고마워.보인다?, 운동 생겼어취미 요즘?새로운좋아 ! 새로운에취미그렇고생겼어?그거 대단하다. 다음 운동같이 가자와 ? 취미 생겼어취미 새로운 생겼어? 와,좋아해재밌겠다! 그건 그렇고, 혹시 좋아해?",일반 대화
"요즘 재밌는 영화 봤어? 와, 대단하다! 그건 그렇고, 체육 좋아해? 조언 고마워. 혹시, 체육 좋아해? 새로운 취미 생겼어? 좋아 보인다! 새로운 취미 생겼어? 그거 재밌겠다. 다음에 같이 가자. 새로운 취미 생겼어? 새로운 취미 생겼어? 와, 대단하다! 그건 그렇고, 체육 좋아해?",일반 대화
"야, 너 충전기 좀 빌려줄래? 안 돼. 내 것도 배터리 얼마 안 남았어. 잠깐만 쓸 건데, 내 폰 완전 꺼졌어. 미안한데 나도 현생 충전 중이라 못 빌려줄 것 같아. 진짜 급한데... 수업 끝나고 꼭 돌려줄게. 내가 다른 사람한테 물어볼게. 진짜 미안. 괜찮아. 도서관에 충전소 있지 않나? 맞다! 깜빡했네. 거기 가볼게. 수업 자료 보내줄까? 폰 충전되면. 고마워, 그럼 부탁할게.",일반 대화
"야, 너 충전기 좀 빌려줄래? 안 돼. 내 것도 배터리 얼마 안 남았어. 잠깐만 쓸 건데, 내 폰 완전 꺼졌어. 미안한데 나도 지금 충전 중이라 못 빌려줄 것 같아. 진짜 급한데... 수업 끝나고 꼭 돌려줄게. 내가 다른 그한테 물어볼게. 진짜 미안. 괜찮아. 도서관에 충전소 있지 않나? 맞다! 깜빡했네. 거기 가볼게. 수업 자료 보내줄까? 폰 충전되면. 고마워, 그럼 부탁할게.",일반 대화
"어제 본 영화 영예 어땠어? 그게 최선인 것 같아. 계략 그래서 납골당 말 무덤 무덤 하기 이야, 마음 표준형 취미에 관심 있어? 새로 최근 산 물건 점유 있어 통찰 마음 ? 흥미 맞아, 나도 연휴 양식 그랬어. 응, 설계 마음 알겠어. 듣자 하니, 요즘 취미 영예 풍류 관련해서 뭐 형식 과거 경험 기품 재밌는 거 있었어? 그거 경험 좋은 생각이야. 새로 산 씨 물건 있어? 어제 본 영화 어땠어? 그거 좋은 영광 생각이야. 그거 좋겠다. 과거 연계 그게 마음 영예 최선인 입안 것 입담 같아. 그래서 말이야, 마음 취미에 관심 있어? 그게 최선인 의견 것 같아. 그래서 말이야, 워드 도모 취미에 관심 소지품 심판 워드 있어 부지 자형 판별 ? 그거 재밌겠다. 그래서 말이야, 취미에 관심 있어? 새로 산 기품 물건 있어? 정말? 어떻게 그렇게 됐어? 이번 여름 휴가 계획 있어? 인물 이번 여름 정기 휴가 계획 마음 있어? 커피 한잔할래? 링크 이번 여름 휴가 계획 있어? 명예 어제 본 영화 연고 어땠어?",일반 대화
