conversation,class
엇 기사 나 여기서 내려줘여기는 아닙니다 아니 가나 가 힘들어서 서 내려줘 조금 내려드릴게요 내 여기까지 다시 걸어와!! . 안 어르신 자네가 나 업고 걸어올거야? 얼른 내려주라고! 하.그렇게 막무가내로 안돼요 왜안돼! 에 되지 어 드릴게요 나 여기서 !!!!!!!!!!!!!!!!!,기타 괴롭힘 대화
이번주에 주석 출장이네? 인연 네 부산가서 범위 교육 자유 받습니다 바쁜데 인간 시점 꼭 가야하나? 직무 관련 제명 안쪽 이라 호각 훈육 지위 저도 법개정 관련된 출장이라 바캉스 꼭 가야할 것같습니다 그거야 책 받아서보면 향유 금방 익숙해지지 아. 무슨 경우 일이 인연 견지 국한 주석 붉 있나요 그날 시점 확정 제목 담장 ? 그건 아닌데 너무 자리자주 비우는 것 같아서 법칙 사유 그렇지 네? 제가요 녀석 ? 경기 어 저번주에는 휴가썼잖아 그건 어머니 모시고 병원가려고 이유야어쨌든 너무 법무부 자주 비우는거 윗분들이 안좋아하셔 잘생각하고 붉 결정해,직장 내 괴롭힘 대화
어 저기 발병신 지나간다 야 발병신 발 불편하면 가실에나 있어 말이 너무 심하잖아. 뭐가 심해 절뚝절뚝 겁나 웃기네 놀리지마 . 야 목발 재밌어보인다 잠깐 줘봐 이러지마. 뭘 이러지마 줘봐 아 겁나 불편하네 이딴걸 왜 하고다녀 그냥 걸어봐 너 이거 없이 못 움직이냐 돌려줘 . 나 그거 없으면 불편해 .,기타 괴롭힘 대화
지수 안녕. 너 지금 어디 ?나 나 지금 학원 가고 학원? 와 너 공부 진짜 열심히 . 근데 그 핸드폰 야? 아 . 사주신 거야 야 나도 이거 사고 싶었는데 나 써 돼?아. 봐봐 야 이거 완전 나한테 딱이네. 잘 쓸게 너 저번에 내 도. 아 말하니까 이젠 말대꾸까지 ? 패딩? 너 그때처럼 맞고 줄래? 미안해.,갈취 대화
자 점심식사들 합시다 와 점심시간이다. 과장님 반미 어디서 먹죠 오늘은? 대리님. 오늘은 쌀국수 어때? 너무 좋죠 저 오늘 같이 먹어도 될까요?. 도시락을 못싸와서. 네. 뭐. 같이 먹어요 잠깐 저 화장실좀 다녀오겠습니다 잠깐 저도요! 다들어디로 가셨지. 아직도 반미을 못먹었네. 어머 지선씨 한참을 찾았네 그러게 우리 둘이서 반미먹었지 뭐야 다음엔 꼭 같이 먹어요,직장 내 괴롭힘 대화
나 저기요 음식 일자 배달 빨리부탁드려요 죄송합니다 손님 고객 연기 혹시 꾸리 주소를 알려주시면 노년 대 확인해드리겠습니다. 금세 성남시 분당구요 네 확인했습니다 장년 . 죄송하지만 포장 손 양식 주문으로 되어있으십니다 창 . 머라고? 난 포장 요리 주문한적 금일 없어 고객 저희쪽에서는 방문 포장이라고 적혀있어서 미소 여기 유해 에 미소 있습니다. 머라고? 나 인지 배달시켰어. 빨리 배달 권장 성원 현생 안해? 죄송합니다. 손님 이미 그렇게 되어있어서 매장 탐구 조금 어려울 것 같습니다. 뭐 내방 ? 지금 요구 장난해? 됐고 빨리 포장해 동네장사 독려 이딴식으로 내림 하면 안되지 문 닫고 싶어? 죄송합니다 배달해드리겠습니다.,기타 괴롭힘 대화
으.으악! 이게 뭐야. 풉 수입 쟤 봐. 반송하 가구 봤나봐. 야! 이수아! 어? 니가 날 그렇게 부른다고?간땡이 죄과 가 부었네. 이게 뭐야. 너 이 사이 운반하 거 치아 대학생 생도 턱 엄연히 범죄야. 알아? 폐해 이게 왜 범죄야? 너 이런거 좋아잖아 집에 가서 혼자 몰래 보는 재해 거 같길래 내가 너를 위해 보내 준건데 송곳니 ? 간수 놈 내가 이런 걸 왜 좋아해! 흐윽 관 . 너 우리가 남자에 책임 언어 미친 거 모를 거같애? 맨날 혼자 이런 거 수입 보잖아 왜 장르가 달라? 더 엄니 원죄 수위 높은 거 보내줘? 하지마.제발. 수놈 너 금일 학생부에 말씀드릴거야. 부지 송곳니 중편 말해봐 지금 여기에 니 하루 턱 엄니 편이 재해 있을까? 현금 애들이 다 내 편인데 너만 거짓말쟁이 될 껄 구설 법칙 ?,기타 괴롭힘 대화
대리 너 이와 님 무슨일이십이거 급하게 하라는거 아직 지금 빨리빨리 하라고 죄송합니다 이 무능한것도 정도가 잘좀하자,직장 내 괴롭힘 대화
쟤 오늘도 저 입고 왔네 옷 저 밖에 없나 보지 뭐. 우리 이해해야지 어쩌겠어. 아무리 그래도 에 사람 도 하나? 나 죽겠어. . 반지하 사는 티 거야 뭐야. 너희 얘기 다 들려 . 들렸니 . 반지하 살면 ? 어디 살든 너희 무슨 상관이야? 꺼. 그게 안되잖아. 근처에만 가도 가 진동을 하는데. 의 위생을 위해 이렇게 걱정 반응 너희 정말 못됐다 나 가만 . 가만 있지 않음 어쩔 돈을 뺐었니 ?,기타 괴롭힘 대화
"주말에 할 이번 엔 친구들이랑 여행 갈 예정이야 어디로 가강원도 쪽으로 가기 했어 아 거기 곳 많지. 응, 경관이 정말 멋있더라. 그럼 사진도 많이 찍을 거야 물론 사진 걸 다 담을 거야.",일반 대화
나 이거 하나 현생 노년 자극 만사주라 엄니 이승 현생 어.? 이거 먹고싶어서 법 하나만 사주라 저번에도 사줬잖아 연기 백금 저번 차지 은 저번이고 나 지금 먹고싶어 나 돈이. 너 년 오늘 용돈 받는 연대 금세 날이잖아 도시 잡 . 오늘 사주면 현금 내가 담에 꼭 사줄게 알겠어.,갈취 대화
나네 아니 자네가 웬일인가내가 지금 자네 딸을 데리고있네 둘이 건가? 몰라서 묻나? 자네 덕분에 우리집에 났어 내 이 아니네 애초에 자네가 그렇게 조작하지만 않았어도다 필요없네 내가 저승길 가는데 외롭지 않게 같이 가겠네 왜 우리딸은 죄 없네 곧 생겼는데 가 무슨소용이란 코지를 하게 딸은 내버려딸 생사가 전화로 준 뿐 내은 없네 끊겟네,협박 대화
여기에 지장 찍으라고 이번달 까지는 돈 정말 갚을게요 내 오늘 기분 좀 안좋아서. 맞고 그냥 ? 정말 찍어요.이번달까지는 돈 갚을게요.아 그럼 맞고 찍자. 재산몰수 정말 는걸 끝내려했는데 오늘 죽을래알겠어요 . 이게 정신 차리네 은 정말 .,갈취 대화
어이 최대리. 야 걸 보고서? 네. ? 부장 제대로님 내써 문제로 . 요약구로 ?도 안해서 .하면?지나치십니다라는거지금이따 엉라고 온해주면! 다시 작성라도. 아니 돼지같이 살쪘으면 ?건가 제출지. 쯧. 한테네.? 무슨님 지금 뭐라고 잘해야? 아니 하셨습니까 말이 틀려라도 돼지같은 몸뚱이하겠습니다 남들 피죄송합니다 일이라도 부장 해야지이 지금말씀이 어쩌. 사과해주세요 상사한테 대드는 건가일이.? 죄송합니다.,직장 내 괴롭힘 대화
아오 저 눈깔 보기 싫어 눈 안깔아 진심 눈깔이 뭐 저렇게 생겼냐 진짜 튀어나올 같네 눈 그게 깐거야? 너도 어지간하다 눈 로 생겼냐 아니 눈 가 아니야 몸매도 그렇고 리얼 어류 생김 미치겠다 냄새도 생선집 이라 런가 느그 형은 고등어 닮았어 얘 웃기 야 교실에서 바다 냄새 니까그냥 죽을게. 죽을 용기도 없으면서 지랄하고 야 죽어 미쳤네,기타 괴롭힘 대화
너 소방관 됐다며 의지 뭐 어려운 일 없냐? 소방관 그냥 불 등불 난곳 가서 쓸모없는 방패 상담 아니야? 응 종족 생기 전등 전혀 아니야 흙덩이 . 아주 작은 일하 불 하나 덩이 집안 끄는데도 많은 물과 시간이 필요하고 불난 동반자 수컷 등 곳 진입할 때 우리 기호 소리 옛적 목숨걸고 진입 톤 해 시동하 . 그래도 뭐 주간 솔직히 들판 불 하나 끄면서 들판 돈 받는건 사실이잖아. 그냥 불에 물 끼얹는 풀 거면서 국부 알지도 못하고 말 하네. 너가 일가 도시 집에 불 자력 피워서 노여움 한 번 꺼봐. 걸이 쉽게 범위 꺼지나 야 뭐 그렇게 이윤 소위 예민하게 반응 난제 하고 그래. 소방관 뭐 정신력 한도 이 약해서 램프 가인 불 끄면 온다 가업 그러던데 너도 설마 와서 그렇게 예민한거임? 뭔 야 모르면서 얘기하지 마. 너 로 비율 돌아가신 소방관 일자리 분 즙 들 숨결 절 도 있어. 봐봐 앰뷸런스 너 말하는 게 불꽃 날짜 백분 딱 와서 세상 만사 사람들 한테 화내네. 뭐 화염 전등 너 소장하 불 못 구 꺼서 누구 죽인적 있지? 희열 사람들이 장기 소방관은 신 평등 이다 이러는데 백금 화재났는데 불 못 끄면 사정 상대 사람 죽인거랑 뭐가 달라. 빛 겸손 자기들 현세 이 해야 할 비운 일 못해서 사람 죽은건데 너 한계 는 뭐 정도 상표 가 잘 나서 법칙 자꾸 그렇게 직업 비하 범위 경기 발언 하고 정신적 문제 앰뷸런스 있다 그렇게 얘기해? 적어도 난 성 안전한 직업을 매 가지고 있다는 게 너보다 잘난거랄까? 그래 너 잘났네. 근데 그거 하나만 사이 노릇 알아둬. 너 집에 불나면 제일 먼저 달려오는 게 누군지 경찰차 소장하 ? 구급차? 소방차야 예 그러시던가 화 좀 적당히 내 라이트 . 니가 군인 화내서 여기 사상 불나겠다 불나겠어.,기타 괴롭힘 대화
뭐야.? 너가 왜 우리집에 있는거야? 그러니까 만나달라고 좋게 말할 때 만나줬으면 좋았잖아. 우리 헤어졌잖아. 헤어졌는데 뭘 다시 만나? 그건 그렇고 우리집은 어떻게 들어온거냐고!!! 난 못 헤어져. 내가 왜 헤어져.? 나 너 없인 안돼. 누구 좋으라고 헤어져? 당장 나가!!!!!!!!!! 경찰 부를거야 당장 나가!!!!!!!! 우리가 함께 할 수 없으면 같이 죽자 그냥 미.친비렁뱅이.? 그 칼 뭐야.? 너가 자초한 일이야. 난 이제 잃을 것도 없어. 무서운 것도 없다고. 세상에서 제일 무서운게 잃을 거 없는 사람인 거 알지 겨.경찰. 내가 하게 냅둘 거 같아? 오열하며 무릎꿇고 .사.살려줘. 이러지마 이.이.러면. 너도 .무사하지 못해. 상관없어. 그냥 같이 죽자. 같이 죽고 지옥에서 함께하자. 무릎꿇고 싹싹 빌며 하.하라는대로.할게.제발. 처음부터 이랬으면 좋았잖아 우리가 어떻게 헤어져. 못헤어져. 영원히 함께야 우리는.,협박 대화
때민씨 이 파일 내일까지 완성해. 네? 이건 적어도 삼일은. 말대꾸 하는거야? 아닙니다. 내가 만만하지? 죄송합니다. 아니면 회사가 장난인가? 시정하겠습니다. 요즘애들은 이래서 문제야 진짜. 내일까지 책상에 두겠습니다.,직장 내 괴롭힘 대화
"좋아하는 드라마가 야?가나는흥미로워'슬기로운 들생활'좋아 뭐 좋아해. 그 드라마는 정말 감동적특히. 의사의 일상과 그을이 제일 다양한 에피소드가 . 그?이지만의사재밌지! 어떤 드라마가 인상 깊었어정말 모든겪는캐릭터정말 매력적캐릭터, 이익준이 이야 들.",일반 대화
동동아 좀 빌려주라 안돼. 시험. 시험기간 빌려달라고 안돼. 그럼 나는 어떡해 넌 하잖아 가져간다? 정말 중요해.야 친구 왜? 빌려달라 잖아 아 안돼. 빨리 돌려줘 선생님께 말할. 야 너 내가 니 일기장 다 알 인스타에 다 공개처형하기 전에 친구끼리 돕고 ? 가져갈게 아. 구구.,갈취 대화
이대리 이거 실수하는거야. 내가 사람을 잘못봤었나? 부장님. 그래도. 그 프로젝트 제가 한 일인데. 부장님의 공으로 돌리신다뇨. 이대리도 알다시피 이거 다 겪어오는 흔한 일이자나. 나도 겪어왔고 니 위도 다 겪어왔어. 그래도. 저는 이거는 좀 아닌 것 같습니다. 저 이 프로젝트에 사활을 걸었었습니다. 제 자식과 같은 거라구요. 이대리. 그래서 어쩌라는건가. 이미 프로젝트는 내 이름으로 올라갔고 뭐 이제와서 사장님이라도 찾아가서 자기가 했다고 말할텐가? 자네가? 그건. 다시 말하지만 난 자네가 뭐라한들 번복할 생각 없네. 잘 생각해. 칼 빼들 생각이면 칼 맞을 각오도 하라고. 무슨 말인지 똑똑한 이대리는 알지? 그런. 제발요. 부장님. 더 할말 없을거 같은데 그만 가게. 이 업계 쫍은거 알지? 이 회사 쫒겨나기라도 하면 염문 다 나서 아주 큰일이 날거야 알지? 그만 알았으면 돌아가. 일 마저 해야지. 윽. 네. 알겠습니다. 그래 그래. 이대리. 아주 똑똑해. 내가 참 아껴. 내가 아끼는거 알지? 잘 생각했어 아주.,직장 내 괴롭힘 대화
유네비계신데도어디뭔 묶어라 이바보들 ! 아이고.묶여 힘이맨입장사시네? 얘들아 더 꽉 ?에스아그거 형님 너네 대체 누구야에스네가 유.비 어쨌어 뭔으로 그걸 말하면 쓰나 너네내 원하는게 있어데 그게 우릴줄은 알아내놔 야로이아는거야. 그걸새끼뭐 내대체 나회장 준 목걸이. 랑 바꾸자고 니.가어떻게원하는게,갈취 대화
"야 너 게임 좀 한다면서? 물 응, 턱 성 요즘 롤 많이 하고 있어. 너 사냥감 도 해? 연결 나도 가끔 하루 하는데, 같이 한번 해볼래? 좋아! 너 티어가 어느 정도 급 야? 매 나는 구별 실버 연락 정도. 아직 많이 근래 푼수 못해서. 괜찮아, 나도 골드라 큰 차이 없어. 즐겁게 하는 게 중요하지. 맞아, 너무 결선 진지하게 상이점 하면 재미없잖아. 그러게. 오늘 저녁에 도 같이 할까? 좋아! 8시쯤 접속 링크 할게. 알겠어, 그때 보자!",일반 대화
저기요 피리요? 네 개가 똥 쌌으면서 치우셔야죠 그냥 가시는게 어딨어요! 똥은 자연이야 자연 하 진짜 어이없네요 당신같은 사람때문에 다른 애견인이 욕먹는거에요 아 화나게하네 진짜 니 자식새끼가 싼 똥 당장 치우세요 생각이있는거야 없는거야 뭐요? 호의를 호구로 받아들이는 사람이 왜 이렇게 많은건지 못 배운사람인가? 지금 말 다 했어요?,기타 괴롭힘 대화
어이 원리 너 와봐 인쇄술 저말이십니까? 그럼 전언 너 기장 하천 말고 여기서 누구야? 얼른텨와 왜 안쪽 그러십니까.? 부장님 너 내가 이거 구린내 실수하지말라했어 안했어 이런 원칙 식으로 일하는거 취기 너 방향 어디 부족하냐? 대하 피리 업 아닙니다 죄송합니다 너 안내 내가 이거 똑바로 워드 하라했지? 네 귀 너 내가 오냐오냐 봐주니까 아주 눈에 뵈는게 없구나? 과오 죄송합니다,직장 내 괴롭힘 대화
거 . 나 거 잘 어울려? 아씨 너 벙어리냐 좀 해 끄덕이지 답답해 입 없어 ? 말 해 ? 미안해. 아 짜증나 재미도 없고 말 없고,기타 괴롭힘 대화
너가 민수라는 제자니?네 맞는데요 그러시죠? 저희 선생님께 생겼나요 무슨 일은 선생님 콩팥 하나 정도 네 장난치시지 마세요. 장난이 너무 아니신가요아 라 상황 판단 못 사진 줄 테니 봐봐 장난 아닌지어.? 왜 러시 요 신고 거예요 당장 신고 할 거예요.신고해보던지 어딘 알고 신고하게? 저한테 있으시면 최대한 할게요 선생님 해치지 말아주세요그럼 내 말 거 주기만 그러면 그냥 깔끔하게 끝날 야 하도록 할게요 바로 할게요,협박 대화
어이!진짜 가 그 가방 찌질빨리 이지 누 구세요 나 2학년 대 야?너보인다가방당장예뻐 . 에 좀 이. 네? 제가 지금온빨리안집에 털어서야해서. 전학생 잠깐. 보자니깐아니 보자?.아 . 없습니다너 로요.?.너선배한만 맞기 싫으면 새로 내놔. 네. 뭐 나오기만별거해봐라가봐진짜.?별거 없어요 진짜.,갈취 대화
야.좋은 할.?에 내릴꺼냐 때내려 싫은데? 내릴께 ? ?내린다며아니요. 맞고가?안맞고맞고내릴꺼냐? 안 안 안내려?어게안내리냐고니안있는 내려 말로?맞고 왜 ?이맞고싶어 아주 맞을려고사진작정.내 아 .요했구나내릴께요.,협박 대화
너 올해 결혼식 몇살이 백금 유연 결혼식 상표 지? 00 재주 살이요. 대장부 문관 야 뒤꿈치 너 안되겠다. 표적 인민 빨리 출가 결혼 이재 해야겠네. 아직은 경제적으로도 그렇고 여러가지로 준비가 안되어서요. 음. 너는 기한 내부 공무원이랑 결혼해야해. 안정적인 직업인 사람은 비슷하게 안정적인 사람 만나고 싶어하지 않을까요 부동 ? 마크 아니야. 안그래. 아. 씨앗 호각 네 뭐 어디 표식 재벌같은 대 백금 단한집안 뒤꿈치 이랑 결혼하려고 결혼 안하는건 아니지? 그럴리 결혼식 가요.,기타 괴롭힘 대화
야 쟤가 걔야?? 수업듣다가 바지에 애 맞음 제야 들아 나 뭐가 이 럼 넌 거 다 는데 길동 밖에 . 맞아 근데 놀리지는 지랄 말 조심해라 아니 누가 노. 아 제제 시끄럽네 이 야 갈 길 가라 존나 맞기전에 응. 알았어,기타 괴롭힘 대화
이거 싸이코 새끼였네 너 돌았냐!!!! 사람 죽일일 있어?? 너 이새끼 깜빵 쳐가자 안되겠어 미친놈 아니야!! 아.아.저.저한테 왜 그러세요.제가 무엇을 했다고 그러시는 거예요.제.제가. 허. 이거 너새끼가 그런거야 너 딱 여기있어 경찰불러야겠다 니새끼는 금일 죽어라 날.죽일꺼야.날.왜?.난.잘못없어.난.아무짓도.안했어.저사람.나빠.날 죽일거야.난 죽기싫어. 야 너 이새끼!!! 어딜 토낄려고!!! 넌 금일 뒤져야 정신차려 너.너.뭐야 이새끼!!!,협박 대화
좋은 말로 할때 내가 시키는대로 해라 연령한테 왜 이래 웃어주니까 내가 만만하냐??? 쳐맞고 싶지? 우리 친구였잖아 친구라고? 미쳤네 니랑 내가 왜 친구야? 니가 시키는대로 다 했잖아 제발 그만해 오냐오냐해주니까 아주 기어오르지 아주 그냥 사지 절단을 해줄까? 내가 뭘 잘못했는데. 입 열지마 빡치니깐. 살고싶으면. .알겠어,협박 대화
저기 아줌마 제목 . 지금 지난번 뭐하는거야? 예? 제가 무슨 실수라도. 현재 아니 아줌마 걸레질하는건 좋은데. 지금 나한테 튀었거든? 아니 악취 . 물기 다 꽉 오인 짜내서 제한 거부 지휘자 튈 일은 없을텐데 영업 . 당대 지금 현대 현세 내가 거짓말한다는거야 빨래 마담 그럼? 아니. 장관 틀림 그게 아니고요 사장님. 안되겠다. 여기 사장불러. 백금 죄송합니다 사장님. 연막 지난번 제가 어떻게 해 드려야 빗발 할까요 사죄 ? 프로 아줌마가 이사 이승 어떻게 한다고 어떻게 돼? 사장 남동생 부르라니까? 제 현금 가 세탁비라도 드리고 진심 프로 으로 사과드리겠습니다. 우두머리 너그럽게 이해해 주세요.,기타 괴롭힘 대화
야 내가 뭐라 그랬냐. 분명히 가석방 될 거라 하지 않았냐 그제? 아 나 원. 영감이 말이 많네. 시끄러워. 잠 좀 잡시다. 아이고 형님도 참. 우리가 뭔 죄라도 지었어요? 다 같은 국가의 죄인 아닙니꺼? 저 새끼 같은 놈들은 얼른 처 죽어주는게 국가에도 좋겠구만. 명도 기네. 아 나 시방 뭐라 했는교? 내가 진짜 교도소에 있지만 않았어도 흔적도 없이 죽여버렸을거야. 아 나 저 가 입은 달렸다고 털어부러. 너그들 오늘 잠잘때 조심들 하여라. 손모가지 하나씩 사라지거든 후회들 말고. 형님도 참 농담도 지나치시구만요. 어떠대고 형님이라는거여. 니 산미 먹을때도 조심들 혀. 그 안에 뭐가 섞였을지 모르니께. 명들 짧으니 조심들 허라구. 아따 빨리 조용히 잠 좀 자자니께. 모가지를 틀어야 쓰겄다.,협박 대화
민수해줘 내일 우리에 앞씨집와요 ? 내일 ? 심하시네요 아니 네 중요해? 주말엔 쉬어야죠 평생.쉬게 으로주말 못말이심한건 입니다해줘씨지금 일도 주말 쉬려하니 하 하면서왜? 기분나빠? 회사생활 못하게민수?그게 지 분명 협박하신겁니다,직장 내 괴롭힘 대화
수익 정보가 공개되면 얼마나 파장수익 클까요? 겁박하는 건가? 제안드리는 겁니다. 얼마를 원하는가. 그건 먼저제시해주셔야죠. 수익 자식수익! 아 물론 적으면 파일 하나 날아갑니다 신문사로 1억이면 되겠나 에이.전송버튼 눌러요 저 10억! 10억 주겠네,갈취 대화
야 응? 너는 장애인이여서 좋냐? 아니. 나는 니가 우리랑 같은반이라는게 너무 싫어 미안. 전학가라 그냥 미안. 그건힘들어 전학 좀가라 향기나 나한테 왜그래.,기타 괴롭힘 대화
갚아 돈 갚아 의돈을 떼먹고 넌 여기서 희희낙낙이야 돈잖아 .아님 저섬에 팔 .그럴 능력이나되니 이라도 너 둬되지도 이구만너 패줄게지금 나도 있지,협박 대화
저기 과장님 이거 어떡게 해야 하나요? 건들지 말고 귀찮으니까 꺼져요 아니 기장님 께서 물어보신건데 그렇다고 누가 손으로 건들라고 했어요? 이상한 사람이네 진짜 야 현과장 자네 미쳤나 내가 우스워 아 기장님 죄송합니다. 제가 일이 많아서 예민해가지고 그래 나도 미안하네 저도 죄송합니다. 신경 쓰이니까 저리 꺼져요,직장 내 괴롭힘 대화
"새로운 취미 ? 응 도예 정말 재밌더라. 멋있다! 어디서 배우고 있어 문화센터에서 주말 클래스 듣고 .비용 많이 들어? 한 달에 8만원, 재료비 포함 것 어떤 걸 만들었어? 아직은 이나 접시 다음 화분 만들 이야. 선물로 하나 ? 물론 뭐 필요해",일반 대화
야. 막내. 너 내가 오늘까지 하라고 한거 다했어? 아.아뇨. 선배님 제가 지금 하고 있는데. 야 넌 애가 그렇게 느려터져서 어떻게 하냐? 내가 이거 오늘까지 제출해야되니까 빨리해서 보내라고 했어 안했어? 네.그래서 빨리 하려고 하고 있는데. 이게 생각보다 양이 많아서. 이사내가 어따대고 말대꾸야? 죄송합니다. 야 내가 막내였을때는 이런거 하루에 열개넘게 처리하고 했었어. 하여튼 요즘 것들은 말야 너 집에서 오냐오냐 자랐지? 죄송합니다. 빨리 처리해서 보내드리겠습니다. 일도 못해 손도 느려 어리버리해 너같은 애가 어떻게 들어온거냐? 너 이러다가 그냥 모가지야. 정말 죄송합니다. 왜. 꼽냐?? 선배가 우스워? 눈 똑바로 안떠? 싸가지없는 사내가 넌 회사생활 편하게 하긴 글렀어 사내야.,직장 내 괴롭힘 대화
야 너가 기장 내가 이제부터 하는 경로로 비행.그건 . 관제탑이랑 교신 해야하고 잘못하면 비행기 하면 바로 해요. 내 말 하면 당장 비행기 폭파시킬거야 내 말대로 .그럼 관제탑 미리 교신. 여기는 비행기 납치중에 . 경로를 부탁한다. 지금 서 몽골로 고 아아. 몽골로 갈 있습니까 부탁드립니다 현재 몽골에 큰 태풍 상륙 예정이라 어렵다고 . 야 죽고 싶어 안된다는 하지말고 루트를 알아봐. 다른 쪽 가는 조짐이라도 보이면 이 보이지? 이거 누르면 비행기 공중 하라는 대로 좀 진정해주세요 경로 바꾸면 복잡해져서 심란합니다. 나한테 하지 마 만 명령 왜 황해? 야 너 죽고싶냐? 터뜨려?아니 그게 아니고 괜찮은 찾아서 겁니다. 좀만 기다려주세요 오늘 비행기에 승객도 많아서 당황시키면 . 제발 살려주십시오.,협박 대화
