conversation,class
안녕 누구신데요. 너가 찬호야? 제발 돌아다니지좀 마그게 무슨 소리야 친구들이 너 보기가 힘들대. 척 안 되잖아 내 눈앞 자꾸 없네 조심히 다녀,기타 괴롭힘 대화
안녕 누구신데요. 너가 찬호야? 제발 돌아다니지좀 마 그게 무슨 언사야 친구들이 너 보기가 힘들대. 아는척 안하면 되잖아 내 눈앞에서 자꾸 보이잖아 할말이 없네 조심히좀 다녀 너나잘해,기타 괴롭힘 대화
아 왜 원숭이 몸이 털이 꼭! 이거아니 유전따가 뭐넌 너희.부모님했어 털이 많아랑 어.어 많아도원숭이같다 야 너가 그래서.지능에도좀?낮은거구나 지금 뭐라고도? .?원숭이맞잖아 ?닮았으니까 진화 덜고된거 그럼 그렇겠지 나 이렇게 같지도 않고낮지지능도 않거든지능 래 찐이야 그만해.제발,기타 괴롭힘 대화
넌 왜 이렇게 몸에 털이 많아? 이거.? 유전이야. 아 너희 부모님도 털이 많아? 어.어 꼭 원숭이같다 야. 너가 그래서 지능이 좀 낮은거구나 지금 뭐라고했어? 아니 맞잖아 원숭이랑 닮았으니까 진화도 덜 된거고 그럼 지능도 그렇겠지 연기 원숭이 같지도 않고 지능도 낮지 않거든! 뭐래 찐따가 그만해.제발,기타 괴롭힘 대화
아가씨 담배하나 줘봐담배이름을 말씀 요? 척 척이지 그것도 내가 이 동네를 얼마나 제가 까지 알아야 필요는 같은데요? 여기 일한지 얼마나됐어 기껏해봐야 여기서 하는이 여기 점장 나오라고 너 밥줄 끊기게 해줄테니까 아저씨 지금 협박하시는거에요? 경찰불러요? 경찰? 이 아 내가 너 그에 로 죽여줄게죽여요 죽여 어차피 가진것도 없고 죽어 달라질거 도 봐요 깜빵 갈 남은거지,협박 대화
어이 아가씨 담배하나만 경찰관 줘봐 담배이름을 항목 호칭 말씀해주셔야죠 어떤거요? 척하면 척이지 그것도 몰라? 내 포지션 가 이 시가 동네를 얼마나 돌아다녔는데 제가 상권 그것까지 들 연대 알아야 될 필요는 없는거같은데요? 악취 너 여기 서지 세대 서 일한지 제정신 얼마나됐어? 기껏해봐야 여기서 알바나 현생 하는이 여기 점장 나오라고 논 시가 해 너 호칭 밥줄 끊기게 시가 해줄테니까 단행본 아저씨 지금 협박하시는거에요 연 ? 경찰불러요? 경찰 득 ? 순경 아씨 얻 불러 이 상권 아 내 년 가 잇속 너 오늘날 원리 그전에 시 칼로 찔러서 죽여줄게 죽여요 죽여 어차피 가진것도 폭행 없고 죽어봤자 달라질거 하나도 없어요 말하는것 자두 봐라 이이 죽여봐요 아저씨 깜빵 갈일만 회장 각 남은거지,협박 대화
자네 를 연금요일주제좋은 하라니까구왜해오도록쓰레기 가져오나 죄송합니다. 박사 10년 하기 싫나? 묶어서차인데 처자해주지 있는데 .구비까지 및 싶진줄않네연나오게.저번3일 손목 탈출까지이고주제를 정해오지 않으면 .구비 삭감 연구실에 손으로 뒤을해오겠습니다죄송합 못 식도..잘?연.졸업에도 겪어봤겠지만 수갑하려면 만 한쪽 버리는게정빠를거야 그러니 주제 잘 정 . 넵,협박 대화
자네 좋은 연구 연차 주제 서류 테마 를 정하라니까 왜 쓰레기만 가져오나? 죄송합니다. 조서 법 박사 10년 장 차인데 졸업하기 싫나? 감소 죄송합. 처자식도 있는데 사 연구비까지 줄이고 싶진 않네. . 3일 의 연기 뒤 화제 감축 금요일까지 주제 이야기 연차 를 정해오지 똥 않으면 연구비 삭감 관 설화 및 연구실에 수갑으로 화제 손목을 제재 묶어서 전설 못나오게 해주지. 잘해오겠습니다. 저번에도 겪어 부조 두엄 봤겠지만 탈출하려면 동정심 손 원조 한쪽 버리는게 빠를거야 연도 그러니 주제 잘 분 정해오도록. 넵.,협박 대화
폰 좀 빌렬주라 여기 오 새로 샀냐? 좋네 응 어제 샀어 나랑 폰 하루만 바꾸자 엉? 안돼.새거란 말이야 야 우리 우정이 이정도였어? 겨우 이런거하나 못 빌려주게? 그래도 내가 싫다고 너 웃긴다 나도 너의 사양을 사양할게 줘 싫어 하루만 쓸게,갈취 대화
폰 좀 가였어 여기 오 새로웃긴다샀냐?? 말 응 엉 거절랑 폰너하루만정도바꾸자 만? 안돼.새거란 하루이야 야 우리 우정 이 라 겨우 이런거하나어제못 ? 그래도 내빌렬주 좋네 싫다고 나도이 의빌려주게거절을 나할게 줘 싫어너 샀어 쓸게,갈취 대화
영주씨 낼 뭐 개울 후일 해요? 내일은 푹쉬어야죠 안쪽 . 내일 나 좀 도와줘 제가 년 후일 왜 확정 도와줘야 하죠? 루트 내 다음날 부탁인데 못해주냐 날 ? 네.갑자기 가운데 그러니까. 시간 못해주겠네요. 그럼 일 그만둬라 너무한거 아닙니까? 다음날 부탁한거 안도와줬다고 이건 말 아닌거 같습니다. 결정하는 대로 이야기해줘 재결 죄송합니다 한도 . 가운데 이건 풍설 좀.,직장 내 괴롭힘 대화
영주씨 낼 뭐해요? 내일은 푹쉬어야죠. 내일 나 좀 도와줘 제가 왜 도와줘야 하죠? 반제부탁인데 못해주냐? 네.갑자기 그러니까.못해주겠네요. 그럼 일 그만둬라 너무한거 아닙니까?부탁한거 안도와줬다고 이건 아닌거 같습니다. 결정하는 대로 이야기해줘 죄송합니다.이건 좀.,직장 내 괴롭힘 대화
얘는 왤케 ? 그만 좀 먹어라 놀리지마 너 라면 한번 끓어?아니야 그런 말 하지마 아니긴 뭐가 아니야 너 먹방 해봐라 조회수 같네 와 내 너 했다 그래도 쳐먹는거 봐라그만하라고,기타 괴롭힘 대화
야 얘는 왤케 국수 돼지냐? 그만 정 좀 먹어라 놀리지마 암소 너 라면 한번에 5개 끓어먹지 수컷 국수 ? 아니야 그런 말 하지마 아니긴 뭐가 아니야 너 먹방 국수 국수 해봐라 조회수 잘 나올거 같네 하지말라고 와 기 자결 내가 너였으면 연막 자살했다 그만둬 제발 어휴 그래도 살겠다고 쳐먹는거 봐라 그만하라고,기타 괴롭힘 대화
야 저미쳤나 내 가? 그만가 왜 이게 꺼? 나를 못?괴롭혀서 안달이냐? 까불지 말고 짜져살제일 왜 나대 그만 괴롭히면 안되까 왜아 ? 널내내?게 왜 재미있는데? 괴롭히는 때려 명령하냐야가미안 아파서,기타 괴롭힘 대화
야 하천 악취 꺼 지불 저 내가 왜? 내가 왜? 이게 미쳤나 야 나를 주문 개울 못 패널 괴롭혀서 안달이냐? 까불지 말고 판자 짜져살아 왜 나대 그만 괴롭히면 안되까? 내가 대등 왜? 널 괴롭히는 게 제일 재미있는데? 개울 적 그만 매연 때려 명령 백중 하냐? 미안 아파서,기타 괴롭힘 대화
조용히계시네요 주시죠.있지 자정 넘었는데 고성방가로에서주변 사람이 가를 입고뭔어디 .받을자유민주주의 국가 내 맘대로 하겠다는데 니해 좀데 이래라저래라야 타인자유 를 주면!그건 더 하고 존중가 에게가 아니죠. 그래서이뭐 어쩌겠다고 계속아주시끄럽게 하면 신고하겠습니다 해지봐! 네저기알겠습니다. 그래 . 한번 해 보라고. 너 마가 집에 이상? 피해 가족네 집이 어딨는지도버려줄까다 알아. 상관그냥 불을 않습니까 너희 너저싹 없애 ? 소음공해에질러서협박까지 살내피해.,협박 대화
좀 해 주시죠. 상관 마. 이 고성방가로 이 를 입고 있지 않습니까. 자유민주주의 내가 맘대로 뭔 이래라저래라야 타인에게 피해를 주면 그건 더 이상 자유가 아니죠. 그래서 고계속 시끄럽게 하면 신고해 봐! 네 알겠습니다.! 어디 한번 해 보라고. 너 저 집에 살지? 너네 집이 어딨는지도 다 알. 아주 불을 질러서 너희 가족 싹 없애버려줄까 에 까지 하고 계시네요.,협박 대화
한 달을 성과가 회사 하는게 자르기전에 로 나가 죄송해요 죄송하다면 다냐 할말이 그게 ? 빨리 꺼져 죄송해요,직장 내 괴롭힘 대화
기전 니을다냐 가 줬는데성과어렵네요 회사서 하는게 모 잇냐 죄송해요 자르한에없잖아달죄송해요 그게나가 발 죄송하다면 다냐로아닙니다 할말이 아니 ? 빨리 꺼져 죄송해요,직장 내 괴롭힘 대화
야 이리와 봐 저요? 그래 너 내가 배가 고파서 그러는데 만원 있냐 저 용돈이 떨어져서 없어요 나 무시 하냐? 아니에요 아저씨 좋은 말 할때 내놔라 그럼 가실에 가서 가져 올께요 이게 날 바보로 아나?,갈취 대화
이리와 봐 저요?그래 너 내가 배가 고파서 만원 저 용돈 없어요 나 무시 ? 아니에요 좋은 때 내놔라 그럼 집에 가서 올께요이게 날 바보로 나?,갈취 대화
자기야 어제 카페에 같이 있던 남자 누구야? 그냥 대학 동기야 오랜만에 우연히 만나서 잠깐 얘기한거야. 내가 보니까 하하호호 신이 나셨던데 아주? 그게 무슨 소리야 그냥 대화한거 뿐이라니까? 하 좋은 말로 할때 솔직하게 얘기해. 너 바람피워? 정말 아니라니까 그냥 친구야 친구. 친구고 뭐고 지금 애인 말을 나보고 믿으라고? 내가 속아 넘어갈 줄 알아? 똑바로 얘기해 한 대 맞기 전에. 대체 왜이래 내가 미안해 됐지? 너 한번만 더 딴남자한테 그딴식으로 살살 눈웃음치면 너도 애인 새끼도 둘 다 죽여버릴거야 알았어? 너 진짜 심각하다.우리 그만하자. 뭐 그만해? 너 진짜 애인 새끼랑 놀아난게 맞구나? 감히 바람을 피워? 헤어지긴 뭘 헤어져 한번만 더 그딴 소리 해봐 너도 죽고 나도 죽는거야. 너 이거 집착이야 제발 그만해.! 니가 잘못해서 여기까지 온거잖아 그러게 왜 딴남자한테 꼬리를 쳐? 나 너 어디 사는지도 다 알고 니 부모님 동생도 다 아는거 알지? 헤어져도 절대 얌전히 안 헤어질줄 알아. 너네 집에 가서 싹 다 죽여버리고 나도 자살할거야.,협박 대화
어제 에 있던 야? 그냥 대학 동기야 에 우연히 잠깐 얘기한거야. 내가 보 하하호호 신 나셨던데 아주?그게 무슨 소리야 그냥 한거 뿐이라니까?하 좋은 말로 때 솔직하게 얘기해. 너 바람피워? 정말 그냥 친구 친구. 친구고 지금 그 말을 나보고 ? 내가 속아 줄 알아? 똑바로 얘기 대 맞기 .대체 왜이래 내가 ? 너 한번 딴남자한테 그딴식으로 살살 치면 도 새끼 둘 죽여버릴거야 알았어?너 진짜 심각하다.우리 . 그만해? 너 진짜 새끼랑 놀아난게 맞구나? 감히 피워 헤어지긴 헤어져 한번만 더 소리 해봐 너도 죽고 나도 죽는거야. 너 이 집착이야 제발 그만해 니 여기까지 온거잖아 그러게 왜 남자한테 꼬리를 쳐? 사는지도 니 동생 다 아는거 알? 헤어져도 절대 아. 너네 에 싹 다 죽여버리고 나도 자살할거야.,협박 대화
여기가확어딘가요게 이 돈 다 내놔.야 을 맞기다 댁은있는누구신대 가 이러세요? ! 내히놓을래? 때리지 마세요진작돈 ? 드릴테니까 때리지 마세요 그럴 이지 왜 뜸싫으면 들이고것그래?가요 누가 시킨건 ? 조심시키긴 다짜고짜 시켜? 네 딱누가내 눈에 들어온거지맞고 아니 다에요 그래 밤길 다녀라,갈취 대화
여기가 어딘가요 야때리지누구 돈다다 시켜.은왜 싫으면 신대히 있는 다짜고짜 이러세요? 확! 맞고 내 놓을래? 밤길 마세요 돈 것 때리지 마세요 진작 그럴 그래이지 맞기 뜸을 들이고?그래? 누가 시킨건 시키긴아니누가들어온거지에? 네가 딱 내가요눈? 내놔 이게 다에요 조심댁드릴테니까다녀라,갈취 대화
제발 ?거야이러지너 이러는두이겨 팰나로 나한테 왜 거야 최교수 너는거지너무 많은 과제를 줬어 학생 진정하도록 내가 당신줄수업 만든 이야 도 앞몽둥이살려줘요이 를 마 나 학점아 으로는 같이 줬겠다? 누가들좀 너 한테 자식 오늘 제삿날이다 제발해부탁 보지 안 그럴 테니 제발!,협박 대화
이 한테로 너를 이누가줬어 팰 거야 나제삿날 왜 이러는 거야 최교수 는 너무 너 과제만든 겨학점학생 해 가 당신 수업너를한테줄?아부탁보지 많은 이러지 나몽둥이 내도 거지 같이 줬겠다? 들 좀 살려줘요 제발 두 자식 마진정하도록이다 제발 나이야 앞으로는 안 그럴 테니오늘제발!,협박 대화
친구야. 잠시만 이리와신발 네.? 네? 그래이쁘다 .. 누가그걸네. 요 왜 그러세요. 너 그 신발 비싼건데.나도너신어봐도 .? 보자이요.? 이거 엄마가.사준거라서될까있니 .내가말고몰라서음물어?저달라는 게 아니잖아 아 . .넵신발 다음주까지만 빌릴게 .,갈취 대화
친구야. 잠시만 이리와보자 네.? 적요? 그래. 너말고 누가 있니. 네. 왜 그러세요. 너 그 신발 비싼건데.나도 신어봐도 될까? 신발이요.? 이거 엄마가 사준거라서. 그걸 내가 몰라서 물어? 달라는 게 아니잖아 아.넵. 음. 신발 이쁘다. 다음주까지만 빌릴게 네.,갈취 대화
상진아 이번 부업 하나 하려고 도와줄래? 어떤일인 ? 이제 겨울이고 붕어빵 장사 좀 해보려고 거든 아 괜찮죠 형 장사하자고요? 아니 자금은 네가 좀 해라 알바라고 생각하면 되나요? 그래 그렇게 생각하고 잘 해봐 형 제 월급이나 시급 이런 건 어떻게 되요? 의 10씩 일급으로 줄 10퍼센트요? 그건 좀 거 아니에요뭐 너무해 한 푼 보태지도 않고 하는건데 차라리 그럼 도 다른데 가서 으로 하죠 뭐게 비정상이라는냐? 형이 하라면 노동도 아니고 좀 아닌 것 못하겠어요 장난? 학교 다닐 때 많이 챙겨줬냐 아니 그 얘길 ?그니까 그냥 하라고 못해요 형 배은망덕한 네 닥치고 해 저도 돈 벌게 해준다잖아 아 조건에는 절대 그래 그럼 너 이동네 절대 못 돌아다니게 해줄게 형 왜? 어린 꺼져라,기타 괴롭힘 대화
상진 허용 아 형이 이번에 부업 하나 하려고 하는데 좀 도와줄래? 어떤일인데 손 요? 형? 이제 겨울 송장 이고 호각 해서 붕어빵 장사 좀 해보려고 한 하거든 아 괜찮죠 형 같이 장사하자고요? 예법 아니 임금 부류 형이 자식 자세 하 잡 자금은 점령 대줄테니까 네가 좀 해라 알바라고 생각하면 되나요? 그래 기일 그렇게 형체 생각하고 잘 사이 도 운영해봐 형 원가 폼 근데 제 동생 중편 월급이나 동생 시급 이런 호각 건 어떻게 되요? 하루 매출의 성 10퍼센트 벌 씩 일급으로 줄게 뱀 10퍼센트요? 도박 그건 좀 너무한 거 일자 아니에요? 수명 자 마루 뭐가 너무해 넌 땡전 한 푼 기적 보태지도 한 않고 하는건데 차라리 그럼 저도 다른데 관혼상제 매장 가서 정상적으로 알바 정상 하죠 형벌 뭐?이게 비정상 절정 이라는거냐? 형이 하라면 해 노동 이빨 착취도 아니고 그건 좀 아닌 기적 관습 동안 사람 해님 전제조건 것 같아요 형 못하겠어요 장난하냐? 너 학교 다닐 때 아우 형이 얼마나 많이 챙겨줬냐 아니 그 얘길 왜꺼내요? 그니까 그냥 하라고 안내 못해요 경기 자녀 법칙 형 완전 배은망덕한 새끼네 닥치고 해라 저도 아들딸 비율 신학교 동기 돈 벌어야죠 벌게 해준다잖아 늘그막 아 그 조건에는 동정 지배 동정 절대 못해요 그래? 그럼 캠페인 너 이동네에서 절대 못 돌아다니게 해줄게 아니 형 왜 늘그막 그래요? 도박 잇속 어린애도 아니고 꺼져라 두고 징벌 감독 봐라 너,기타 괴롭힘 대화
야 못생긴 면상 놈 얼간이 뭐야 그만해 얼레리꼴레리 너는 눈도 신학교 작고 코도작고 못생겼냐 그만해 수업 트집 목 선생님안테 귀 이를꺼야 이르던지 말던지 못생긴놈 교육 아 그만하라고 스트레스받아 못생긴게 어디서 사망 말대꾸야 절명 저리가 생모 너때문 기품 방도 가모 에 학교 극한 못다니겟어 나오지마 어멈 제발 너 얼굴 생모 보기 싫어 비켜 동정 엄마안테 이를꺼야 얼레리 꼴레리 못생긴게 죽고싶다,기타 괴롭힘 대화
야 못생긴놈 뭐야 그만해 얼레 절명 리꼴레리 너는 눈 가모 가모 도 작고 어머니 트집 코 사멸 도작고 절명 못생겼냐 모친 그만해 선생님안테 격 이를꺼야 이르던지 말던지 신학교 당 못생긴놈아 그만하라고 수평 스트레스받아 못생긴게 어디서 말대꾸야 쪽 저리가 너때문에 학교 단면 못다니겟어 안면 나오지마 제발 사멸 너 얼굴 보기 싫어 고도 비켜 엄마 구 안테 이를꺼야 상사 얼레리 꼴레리 못생긴게 쪽 죽고싶다,기타 괴롭힘 대화
박과장님 연월일 여기 말씀하신 커피 타 협정 사무 턱 왔습니다. 어어 그래 비례 단소 이목구비 김인턴 고마워. 호각 역시 커피는 정도 김인턴이 플러스 타는게 제일이야. 감사합니다. 혹시 뭐 제 매연 고초 가 업무적으로 해야하는 일이 있을까요? 업무적으로 ? 음 글쎄 원조 김인턴 제명 백금 이제 곧 계약 벽두 끝나지 않나? 네 후각 나이 ? 아니 보조 뭐. 말 처음에야 일하는 속도나 업무결과봐서 정규직 채용 언약 생 한다고는 했지만 증기 저 혹시 이번에도 정규직 사단법인 모두 체결 적 계약 보직 은 어려운 대하 수증기 건가요.? 성금 임용 평등 다른 신입들에 비해 너무 뒤쳐지는데 회사에서는 김인턴을 하 채용할 수익 이유가 없다하더구만. 저 벌써 계약 글월 직으로만 2 소득 번 사무 째에요. 백금 길 과장님 부탁드릴게요. 내가 무슨 권한이 있나 그냥 시키는대로 결과만 알려주는거지. 정상 흠흠 그래서 정도 얻 손 요즘 업무는 안주시고 말 커피타는 일. 카피하는 일. 우편보내는 일.만 시키신건가요? 어려운 호각 업무 준다고 매연 잘 납입 해낸 시작 태초 적도 없고 곧 갈사 난점 람 부려먹어서 뭐하나 지원 편하게 아래 있다 가시게나.,직장 내 괴롭힘 대화
박과장님일이여기 계약하신끝나지커피 . 어어 그래 김인턴 과장저역시 커피는 김내이나 제일이야 감사합니다? 혹시람곧.제무슨 업무적으로번해야하는 있을까요? 업무적으로 없다 글쎄 김인턴 이제 하더구만 말씀 먹어서 않나?.정규직 뭐.왔습니다처음에야 일하는 속도 결과업무결과봐서 에요 채용한다고는 혹시 커피에도에 계약은 어려운 채용요.? 다른.신입카피 가 너무 뒤2?회사에서는 김인턴을 권한할하나이유가 음곧 저 벌써요즘계약직 고마워쳐지는데 네.타는게.님 부탁드릴게요 인턴가 비해 건가이 있나 그냥 시키는대로 했지만 알려주는거지. 흠흠 그래서 업무는째갈사고 이번타는 일정규직.뭐하는만타. 우편보내는 일.만 시키신건가요?.어려운 업무 준다고 들 해낸 적도 없고 뭐 안주시일 부려 아니잘으로만 편하게 있다 가시게나.,직장 내 괴롭힘 대화
김대리? 네 부장님 금일 요새 무슨 현대 좋은 탄탄 일 있어? 네.? 아니 오늘따라 수평 좀 연기 매 예뻐 보여서 스팀 아. 오늘 퇴근하고 연대 시간 있나? 사택 아 저 집 호각 에 가야해서요. 호각 에이 시간 주간 좀 내줘 금일 같이 기한 밥 한 끼 정도 연령 도 못 메 해주나 요즈음 ? 아,직장 내 괴롭힘 대화
김? 네 부장님 요새 좋은 있어?네.? 따라 좀 예뻐 여서 . 오늘 하고 시간 있나?아 집에 가야.에이 좀 내줘 밥 한 끼 정도 해주나,직장 내 괴롭힘 대화
김 대리 승진했는데 뭐 한 턱? 없나? 아유 과장님. 또 그러면 좋은데 저번 달에 제가 쿠키랑 음료수랑 우리 부서랑 옆 부서에 돌렸잖습니까? 아니 코로나 전에는 더 크게 돌렸어. 여러번도 돌렸고. 나도 그랬고 또 송곳 수 있으면 좋은데 제가 요즘 주머니 사정이 안 좋습니다. 대출금도 너무 부담스럽고. 또 딸애 학원비도 최근에 무지 빡빡하더라구요. 김 대리는 김대리 상황만 보이고 딴 사람 눈치는 안중에도 없구나? 좀 하면 어때? 제가 사정 봐가면서 또 되면 하도록 하겠습니다. 과장님. 아니 김 대리는 어떻게 이렇게 사람이 재미가 없어? 담달에 한번 해. 내가 너 승진하는 데 고과 평가 좀 도움 줬다는 것도 알텐데. 원. 이렇게 사람이 눈치가 없네. 과장님. 압니다. 잘 알고요. 과장님 도움없이는 제가 이자리까지 못왔죠. 그럼 기대하겠다. 김 대리 코로나 방역도 풀리는데 맛있는 거 좀 맛보게 해줘. 예. 제가 노력해보겠습니다. 과장님.,직장 내 괴롭힘 대화
