idx,class,conversation
361,기타 괴롭힘 대화,"야 시발 왜 혼자 공부하냐
해야되니까?
하면 뭐 될거같냐 
니새끼보다는 나을듯 
미쳤냐? 해봤자 중위권이면서 개나대네
그 중위권도 못하는 병신이 말을하네 
말하는 꼬라지 봐라. 맞고 싶냐?
교육 못 받은 친구들한테는 이렇게 말하게 되네 
뒤질래? 끝나고 옥상으로 와라
내가 왜 신아"
378,기타 괴롭힘 대화,"어 누구 닮은셧는데 ?
누구요
연예인 그 . 그 .
연예인은 다 너무 이쁘잖아요
에이 개그우먼은 아니잖아요
네 ? 개그우먼요 ?
그럼 배우게요 ?
아 제가 오버했네뇨 계산해주세요
개그우먼 궁금하지않아요 누구랑 닮앗는지 ?
네 궁금하지 않습니다 계산이나 해주세요"
388,기타 괴롭힘 대화,"여행 누구랑 다녀왔어요?
아 친구랑요
친구 누구? 남자친구?
아니요 대학 동창이요
아 대학교에서 만난 남자친구?
아니요 그냥 친구요
아 요즘에는 흠도 아니야 솔직히 말해도 되지
진짜 그냥 친구요
아 그래그래 남자인 진짜 그냥 친구
하"
392,기타 괴롭힘 대화,"병신이 아이스크림 먹게 돼 있냐?
난 먹으면 안 돼? 그만 좀 해.
당연히 안 되지 너 공부 개못하는 찐따잖아.
야 닭대가리가 말도 하네 동물농장 나가자.
너네 학교폭력으로 신고하기 전에 그만 해.
아이고 무서워라 살려주세요 으헝헝
제발 좀 저리 가.
나였으면 아이스크림 먹을 시간에 공부한다.
멈춰!
저러니까 쳐맞고 다니지"
464,직장 내 괴롭힘 대화,"우리 신입이 이번 대회에서 1등 했어요.
축하해요.
감사합니다.
그런 의미로 오늘 신입이 한턱 쏩니다
네? 저 그런적 없는데요? 부장님?
원래 이런날엔 신입이 쏘는거지. 한우로 기대할게요
아니. 부장님 이건 아닌거 같아요.
머라고? 부장이 말하는데 어디 토를 달아 좋은날 기분나쁘게 하지말고 그런줄 알어. 나 때는 그게 당연한거였어.
부장님. 그래도 저한테 선택권을 주셔야지요.
우리 신입은 회사온지 얼마나 되었다고 다시 나가고 싶어?
그런 뜻은 아닌데요. 차라리 저한테 의견을 물어보면 어떻겠냐는 말이였는데.
의견을 물어봐? 그럼 생각이 있다는 거였네 한우로 기대할게 우리 팀 막내
아. 부장님 저는 못 사드릴 것 같습니다."
523,직장 내 괴롭힘 대화,"과장님. 저 이번에 휴가 좀 갔다와도 되겠습니까.?
휴가? 왜??
좀 쉬다가 오고 싶습니다.
너만 쉬고싶어?
그건 아닌데. 다른 직원들은 이번에 다 나갔다왔는데 저만 지금 6개월째 못나갔습니다.
그야 그만큼 너가 일을 잘하니까 좀만 기다려봐!
저번에도 이러시고 안보내주시지 않았습니까.
김대리. 영영 나가고싶어?
죄송합니다.
그래 담부턴 죄송할 짓 하지마"
546,기타 괴롭힘 대화,"생긴 것 봐라. 니네 부모님은 무슨 잘못을 하셔서 이런 자식을 낳으셨냐
뭐라는거야. 막말하지마.
아? 아니면 니네 부모 닮아서 이렇게 생겼냐?
내가 너한테 이렇게 말해도 너 기분 좋을 것 같냐?
내 얼굴을 봐? 그렇게 말할 일은 없지 뭐. 넌 쌍판 갈아치워도 안될 면상이네. 갈았네 갈았어
그만해
그만해 그만해 예예 그만할게요
하.
얘는 한숨소리도 못생겼다 애들아
못생긴 애는 앉아있는 것도 못생겼네"
564,기타 괴롭힘 대화,"야 찐따야.
? 지금 나 말하는거야?
그럼 너밖에 더 있겠냐?
왜 내가 찐따야?
쟤 진짜 모르나봐.
계속 찐따처럼 행동하니까 그렇지.
찐따처럼 생기고.
너네보다는 괜찮게 생기고 잘 행동하는데?
와. 우리 찐따 우리 눈도 쳐다볼 수 있고 잘 말하네? 아이구 기특하다.
아 쫌 내둬.
이 찐따가 겁을 상실했네. 이게 맞을려고."
585,기타 괴롭힘 대화,"친구야 지방대 다닐만하냐?
 응. 편하고 좋아
 너네학교 애들은 공부안하고 술만 먹지?
 아냐 다들 열심히해.
 에이 지방대가 무슨! 말도 안돼
 우리학교 무시하지 마.
 무시당할 만 하지 너네 입시결과도 안좋잖아. 부실대학이고!
 그래도 좋은 학교야!
 나같으면 너네학교는 보내줘도 안가겠다. 다녀서 뭐하냐?
 그런말 하지 말라고!"
631,기타 괴롭힘 대화,"야 얘 이 쪽 손가락 세 개밖에 없다
엥 손가락이 세개밖에 없을 수가 있어?
봐봐
하지마.
우와 진짜 손가락 세 개네. 너 그러면 그거야? 장애인?

그럼 너는 이거 뭐라고 불러? 엄지 중지 새끼?
야 왜그래. 엄지 검지 중지지. 뭘 모르네
하지마. 왜그래.
아 미안미안"
663,기타 괴롭힘 대화,"왜 이래?
 이유는 없어.
 그만해.
 그냥 재미있잖아.
 나 너무 힘들어.
 넌 내 장난감이야.
 이러지마.
 내가 짖으라면 짖고 구르라고 하며 굴러. 살고 싶으면.
 이제 그만해.
 그만해? 나는 아직 심심한데."
690,기타 괴롭힘 대화,"쟤 먹는거 봐 토쏠려.
저리 가줄래?
꼴에 먹는거는 좋아해사지고. 그래서 니가 돼지 인거야.
그만좀 해.
내 말이 틀렸냐? 친구도 없는 주제에.
알았으니까 관심좀 꺼줘.
너 내가 우습냐? 찐따면 짜져있어.
알겠어.
공부도 못하고 못생긴게.
그만 좀 냅둬주라"
697,갈취 대화,"우와 이거 진짜 멋지다. 나도 18까지 밖에 없는대.
그지 이거 완전 멋있지. 이거 24이야
부럽다. 나도 그정도 능력 있으면 바꾸고 싶다.
그래? 나한테 줘봐 내가 나중에 내껏처럼 24로 가져다 줄게?
응? 아냐 괜찮아 이거 우리 아빠가 나 응원해주려고 큰맘 먹고 주신거라 이것도 만족해.
머래 주라고 좋은거 바꿔준다고 해도 난리야
아니야 진짜 괜찮아 마음만 받을게
야 내가 호의를 베풀면 감사합니다 하고 줘야지 머하냐 빨리 안내놔
아니 괜찮다니까 내가 괜찮다고.
아놔 이게 장난하냐 야 바꾸고 머고 니꺼 없애게 내놓으라고 빨리 안가져오냐
싫어. 이거 아빠가 주신 선물이야.
아빠 어차피 모르니까 좋은말로 할 때 내놔라."
706,직장 내 괴롭힘 대화,"지현씨 나 소개팅 좀 시켜줘봐
네? 저 주변에 아는 사람이 없어서요
아 상사라 불편하다 이거야? 아님 나이가 너무 많아서 지현씨 또래 어린 남자는 안되겠어?
아뇨 그게 아니라 괜찮은 사람이 없어요
지현씨는 매주 주말 남자친구 만나느라 바쁘잖아 너무한다 이기적이네
네? 저 매주 못 만나요 차장님
자기는 데이트하고 남은 신경도 안 쓰고. 지현씨가 회사에 친구 없는 이유를 알겠다
네? 회사는 일하러 오는 곳인데 왜 제가 친구를 사겨야 하나요.?
지금 말대꾸하는 거야? 지현씨 회사에서 소문 얼마나 안 좋은지 알아? 자꾸 이러면 내가 인사고과 잘 줄 수 없어 알아?
알겠습니다 찾아보겠습니다"
710,직장 내 괴롭힘 대화,"김선생님 이따 저녁에 뭐하세요?
아무 일정 없습니다. 원장선생님.
그래요? 잘됐다. 그럼 김선생이 남아서 일좀 하면 되겠네
네? 무슨일이길래.?
별건 아니고 나 연수받아야 하는데 그것 좀 대신 좀 해줘요.
네? 그걸 제가 어떻게.
온라인이라 괜찮아 부탁할게 김선생
아. 죄송합니다. 원장선생님. 그건 좀 아닌 것 같아요
김선생 내가 예쁘게 봐줬더니 이정도는 해야지
아. 그래도 이건 아닌 것 같습니다. 죄송합니다."
711,기타 괴롭힘 대화,"저기요. 쿠팡잇츠에서 시킨 사람인데요. 빙수 맛이 다른데요?
네? 그럴리가 없는데. 혹시 주문번호가 어떻게 되나요.?
203번이요
아. 사인머스켓 팥빙수 시켜셨지요? 무엇이 문제인가요?
네. 샤인머스켓에서 단맛이 없고 사과처럼 퍼석 거리네요.
네? 그럴리가 없는데. 다른 고객님들은 아직 컴플레인 없으셨는데. 혹시 불 옆에서 조리를 하시거나 다른 음식이랑 섞인 건 아니신가요?
뭐? 팥빙수를 그냥 먹지 불에 조리를 어떻게 해요 미친거아니야. 그리고 내가 다른 음식이랑 왜 섞어서 먹어요. 됐고 빨리 환불해주세요.
네? 잠시만요. 사장님 죄송한데 쿠팡이츠 주문하신 분 음식이 이상하다고 환불해달라는데 어떻게 할까요?
머? 또 시작이네 붉어져봐야 우리만 손해니까 그냥 환불해드려.
네. 알겠습니다. 고객님 불편을 들여 죄송합니다. 지금 환불해드리겠습니다."
720,기타 괴롭힘 대화,"아 멍청한 프린터기 같으니라고
야 왜그래
프린터가 제대로 안되잖아
내가 해볼게 됐지?
오 대박
으이구 기계치
맞아
너 카톡프사도 바꿀줄 모르지?
그정도는 아니거든
에이 맞는 거 같은 데 우리할머니가 너 보다 잘하겠다"
738,기타 괴롭힘 대화,"또 뭘 처먹냐
뭐가.
그만 좀 쳐먹어 씹돼지야
왜그래.
너 걸어다닐때마다 바닥이 울려
아니야. 왜그래.
너네 엄마도 너같이 돼지냐?
어니야 우리엄마 욕하지마
완전 돼지 가족이네
진짜 하지마"
763,기타 괴롭힘 대화,"원숭이 엉덩이는 빨개 빨가면 사과 사과는 맛있어 맛있으면 바나나 야 홍당무 사과는 맛있는데 왜 바나나냐?
그걸 내가 어떻게 알어.
그니까 홍당무 홍당무는 빨간색이지. 여러분 여기 홍당무가 지나가요.
그러지마. 홍당무라고 부르는 거 싫어.
머래. 한번 홍당무는 영원한 홍당무야. 홍당무 홍당무 홍당무 홍당무는 사과래요. 바나나가 아니랍니다.
하지마.
하지마 싫은데 할건데.
아니. 하지마. 듣기 싫어. 무시하는 거 같단말이야.
이건 무시가 아니라 팩트야 꼬우면 너도 내 약점 잡아서 놀리던가 그러지도 못하는게 나대긴
하지마. 정말 싫어."
771,기타 괴롭힘 대화,"아 냄새.
 무슨 냄새?
 어디에서 썩는 냄새가.
 그만해.
 너보니까 음식 쓰레기 냄새난다.
 가 비켜.
 야 음쓰.
 가라고.
 너 썩었어. 얼굴이.
 제발 좀 그만 놀려. 나 정말 힘들어."
779,기타 괴롭힘 대화,"야 대머리 독수리 니 머리카락 어디갔냐
그만 놀려라
사실을 말하는데 왜 그러냐
컴플렉스야 스트레스받아 그만해
싫은데 타코야끼 가스오부시 대가리야
내가 너 놀려도 기분 좋겠냐?
난 머리카락있는데 어떻게 놀려 문어머리야
넌 진짜 나쁘다.
너 공짜 좋아해서 대머리됐냐?
그만둬 제발"
782,기타 괴롭힘 대화,"야 석탄?
 내가 왜 석탄이야?
 얼굴이 까마니까 석탄이지.
 그만해.
 너 라이터 불붙이면 아주 잘 타겠다.
 가 비켜.
 아주 콧구멍 커지니까 이제 연탄이네.
 비키라고.
 야 연탄?
 제발 좀 그만해. 나 정말 힘들어."
786,기타 괴롭힘 대화,"이야 내동생 여자친구한테 편지쓰네?
 아 형 돌려줘.
 어디보자. 사랑하는 여친에게.
 아 읽지 말라고!
 아니 이게 어디서 형한테! 가만있어봐.
 내 편지야!
 요즘 항상 네 생각만 난다. 너네가 무슨 견우직녀냐? 웃기네.
 그만하고 내놔!
 에헤이 나도 제수씨에 대해 알아야지
 이거 사생활침해야! 내놔!"
789,기타 괴롭힘 대화,"야 얘 이 쪽 손가락 세 개밖에 없다
엥 손가락이 세개밖에 없을 수가 있어?
봐봐
하지마.
우와 진짜 손가락 세 개네. 너 그러면 그거야? 장애인?

그럼 너는 이거 뭐라고 불러? 엄지 중지 새끼?
야 왜그래. 엄지 검지 중지지. 뭘 모르네
하지마. 왜그래.
아 미안미안"
796,기타 괴롭힘 대화,"야 내말 따라해봐. 안녕하세요. 김길동 입니다.
어. 왜. 그러지마.
하하 이거봐라. 얘 이것도 못 따라해. 장애인자식.

대답안하냐? 야? 어 ? 내말 씹냐고
아니야. 그러지마.
뭘 그러지마야 그럼 내말 좀 따라해보라고.
. 할 수 있어
뭘 할 수 있어야. 넌 아무것도 못해. 앞으로 어떻게 사냐. 불쌍해라 어휴
하지마."
804,기타 괴롭힘 대화,"저기 재수없는 년 지나간다
나한테그런거야?
응 너 전부터 보기도 싫었어 그냥
왜그래화났어?
응 너 면상부터가 맘에 안들어 그냥 왜사냐?
말이 너무 심하잖아
제발 집에만 박혀 살면안돼? 꼴보기싫어 진짜
미안"
814,기타 괴롭힘 대화,"저기 오빠 사인해주세요.
 엄마야. 너 여기 어떻게 알았어.?
오빠는 제 손바닥 안이에요.
제발 내 사생활 좀 지켜줘. 나 너네한테 잘하고 있어. 팬서비스도 열심히하고 연애도 안하고.
알아요 오빠. 오빠는 만인의 사랑이잖아요.
그러니까 제발 우리 예쁘게 있자 응?
그래도 오빠가 만약에 바람이라도 나면 그때는 어떡해요. 그럼 안되는거잖아요.
안할게 안할테니까 우리 서로의 사생활을 보호해주자.
싫어요. 제가 무엇을 믿고 저 그러면 매니저로 취직할 거에요.
제발 미안한테 우리 그러지 말자 응?"
821,기타 괴롭힘 대화,"어휴 야 넌 왤케 뚱뚱하냐?
내가 뚱뚱한게 뭐 어때서
야 보기만해도 역겨워
내가 뚱뚱한게 너한테 무슨 피해가 됐니?
어 당연히 됐지
뭔소리를 하는거야
야 보기만해도 역겨워서 밥이 안넘어가
미친건가?
야 저리꺼져 역겨우니까
어처구니가 없네"
824,기타 괴롭힘 대화,"이야 내동생 여자친구한테 편지쓰네?
 아 형 돌려줘.
 어디보자. 사랑하는 여친에게.
 아 읽지 말라고!
 아니 이게 어디서 형한테! 가만있어봐.
 내 편지야!
 요즘 항상 네 생각만 난다. 너네가 무슨 견우직녀냐? 웃기네.
 그만하고 내놔!
 에헤이 나도 제수씨에 대해 알아야지
 이거 사생활침해야! 내놔!"
845,갈취 대화,"야 너 돈 많아보인다
저 없습니다.
없는애가 그렇게 명품을 두르고 다녀?
이거 다 선물받은 것입니다.
지금 돈없어?
예 없습니다.
그럼 그 시계 팔아서 좀 주라
안됩니다.
나 줘봐 내가 당근에 팔아줄게. 팔리면 너도 좀 줄게
아."
855,기타 괴롭힘 대화,"안녕하세요 지금 먹방 촬영중인데 촬영가능할까요?
안돼요
한번만 안될까요?
안돼요 나가세요
홍보효과도 좋아요
글쎄 안한다니까요
존나 튕기네
지금 뭐하세요
안좋게 소문내고 다닐께요
무슨말씀이세요 경찰부릅니다"
869,직장 내 괴롭힘 대화,"지현씨 나 소개팅 좀 시켜줘봐
네? 저 주변에 아는 사람이 없어서요
아 상사라 불편하다 이거야? 아님 나이가 너무 많아서 지현씨 또래 어린 남자는 안되겠어?
아뇨 그게 아니라 괜찮은 사람이 없어요
지현씨는 매주 주말 남자친구 만나느라 바쁘잖아 너무한다 이기적이네
네? 저 매주 못 만나요 차장님
자기는 데이트하고 남은 신경도 안 쓰고. 지현씨가 회사에 친구 없는 이유를 알겠다
네? 회사는 일하러 오는 곳인데 왜 제가 친구를 사겨야 하나요.?
지금 말대꾸하는 거야? 지현씨 회사에서 소문 얼마나 안 좋은지 알아? 자꾸 이러면 내가 인사고과 잘 줄 수 없어 알아?
알겠습니다 찾아보겠습니다"
872,기타 괴롭힘 대화,"너가 쓴글 다 구라아님?
진짠데.
증명해봐. 어떻게 믿냐?
인터넷이라 신상털려서 안돼.
인터넷이라고 그렇게 구라치고 다니면서 팔로우 늘리니까 좋냐?
믿기 싫으면 믿지마.
니 실체를 사람들이 다 알아야하는데.
그만 대화걸었으면 좋겠다.
너 현생이 시궁창이라 여기서 발연기하네.
그만하라고"
879,갈취 대화,"어이 이리 와봐. 
네.? 저요?
어 그래 너. 여기 너 밖에 더 있어?
왜 그러시는데요.
가진 거 다 꺼내 봐.
저 돈 없어요.
뒤져서 나오면 십원당 한 대 씩이다.
진짜 이게 다에요.
옷 다 벗어봐.
그러지 마세요."
900,협박 대화,"5년전 너가 나한테 상처줬던 말들 다 사과해
내가 너한테 뭘 어쨌는데?
가해자는 기억 못한다더니. 넌 오늘 내 손에 죽어
그 총으로 날 쏘겠다는 거야?
총알 다 장전되어 있어 이거 한 방이면 니 목숨은 끝이야
장난감 총으로 날 협박할 생각말고 그거 내려놔
니가 했던 말들 다 기억해내서 사과하기 전엔 어림없어
너 뭔가 오해가 있는 것 같은데 우선 진정 좀 해
내가 오해를 하고 있다고? 니 입부터 찢어버려야겠구나
제발 진정 먼저 해 말로 해결하자 응?"
929,기타 괴롭힘 대화,"친구야 지방대 다닐만하냐?
 응. 편하고 좋아
 너네학교 애들은 공부안하고 술만 먹지?
 아냐 다들 열심히해.
 에이 지방대가 무슨! 말도 안돼
 우리학교 무시하지 마.
 무시당할 만 하지 너네 입시결과도 안좋잖아. 부실대학이고!
 그래도 좋은 학교야!
 나같으면 너네학교는 보내줘도 안가겠다. 다녀서 뭐하냐?
 그런말 하지 말라고!"
932,기타 괴롭힘 대화,"저기요. 잠깐만요
매일 왜이러세요. 전 할말 없어요
그 쪽이 좋아서요
전 관심 없어요. 오지 마세요
한 번만 만나주세요.
제발 이러지 마세요. 전 남자친구 있어요
결혼한 건 아니잖아요. 딱 한번만 데이트해요
내가 왜 그쪽이랑 만나요?
그 쪽이 내 스타일이에요
난 아니거든요."
941,기타 괴롭힘 대화,"야 너 내 돈 언제 갚을거야?
나 너한테 빌린적 없잔아.
이새끼 봐라. 저번에 빵 줬잔아 그거 만원짜리야
그거 남은거 준거잔아.
내가 너한테 줬다고? 여기 증인도 있는데?
내가 다 봄. 물건을 받았으면 돈을 줘야지. 안되겠다. 맞아야 정신을 차리지.
야 잡아봐
미안해 내일 만원 가져올게
이미 늦었어 새꺄
너 때문에 땀 났으니깐 내 인권비도 오천원 가져와라
알겠어. 미안해."
947,협박 대화,"오빠 근데 왜 헤어지는거야??
이제 별로 널 안 사랑해. 그리고 나도 이제 지칠만큼 지쳤어.
대체 어느부분이 지쳤다는건데. 내가 사과했잖아.
사과해도 우리 다시 사귀면 넌 잠깐은 바뀌겠지만 다시 돌아올거야.
싫어. 난 못 헤어져. 나 헤어지면 죽어버릴거야.
왜 그래. 너 어린애 아니잖아.
싫다고 내가 바뀐다는데 왜 오빠가 먼데 날 판단해. 나 진짜 헤어지면 가방속에 있는 칼로 내 손목 그을거야.
왜 그래. 그러지마. 그냥 우리 좋게 끝내자.
싫다고 나 진짜 죽는꼴 보고 싶어? 헤어지면 죽을거라고 그러니까 오빠도 나랑 헤어질 생각하지마 헤어지면 확 손목 그어서 죽을거니까"
963,협박 대화,"저번에 말한 물건들 준비됐어?
아니 선생님. 시간을 조금만 더 주세요.
저번에도 그랬잖아. 이번엔 그냥 안넘어가
그리고 원래 300개만 준비해달라 하셨는데 300개를 더 요구하시는건 좀 과하지 않습니까.
그래? 진짜 과한게 뭔지 보여줄까?
죄송합니다.
너나 니 와이프나 자식들 장기라도 팔아서 준비해.
예.?
왜. 직접해줘?
오늘까지 꼭 갚겠습니다."
992,기타 괴롭힘 대화,"야 너 이름이 뭐야?
나 김말자
얘 이름 말자래 개 이름아냐?
아니야.
말자야 짖어봐
말자야 손!
놀리지마
개가 말도 할 줄 아네?
간식 줘야 되는거 아냐?
자 여기 마이쮸 가서 물어와봐"
1000,기타 괴롭힘 대화,"우와 00아 너 이번에 올라온 사진 정말 예쁘더라.
아 응 고마워!
그래서 그 사진 보고 너가 입은 옷이랑 립스틱 따라 사고 싶은데 어디 제품인지 알려줄 수 있을까 ? 나 정말 너 좋아해서 따라하고 사진 찍고 싶어.
어. 0000 여기 제품이야.
우와 봤는데 너무 비싼 것 같아. 어차피 사진 한 번만 찍을 껀데 둘 다 빌려주면 안될까?
아 그래. 빌려줄게.
그러면 빌려주는 김에 전전 피드에 올린 옷도 같이 빌려줘!
아 그거는 내가 사촌언니 이미 빌려줘서 못 빌려줄 것 같아.
그래? 근데 나 진짜 너무 궁금한데 언니한테 얼른 다시 받아서 빌려주면 안될까? 너 엄청 착하잖아. 믿어도 되는거지?!
알겠어."
1011,기타 괴롭힘 대화,"야 넌 왜 맨날 이상한 화장해? 그런다고 남자애들이 너 안 좋아해
난 남자애들한테 잘 보이려 화장 하는거 아닌데.? 그냥 내가 이런 화장이 좋아서.
무슨 소리니. 너도 남자한테 인기 많고싶어서 의식하는 주제에.
왜 그 얘기가 여기서 나와.
아니. 너 그런 화장 하고 다니는거. 같이 다니기도 쪽팔려. 그 얼굴로 남자애들한테 말 거는거 걔네가 기분 나빠하는거 안 보여?
나 그런적 없어. 너 혼자 착각한거지.!
뭔 소리야. 너가 내가 좋아하는 군한테 꼬리쳐서 우리 썸 깨진거구만. 역시 넌 뒤에서 음침한 짓 하고 다니고. 실망이야.
우리 이제 그만 얘기하자.
난 아직 얘기 안 끝났는데? 너 마음에 안 드는거 너한테 말해줘야 너가 정신 차릴거 아냐.
하."
1019,기타 괴롭힘 대화,"푸핫 야 너 배좀 봐 밥이 들어가니?
아 왜그래요
아니 너만 보면 진짜 한심해서 그래
예?
결혼은 할 수 있겠니? 진짜 쪽팔려서 어디나 같이 다니겠니?
말다하셨어요?
아니? 더 남았다 임마 자기관리도 제대로 못하는 놈
제가 뚱뚱한거랑 무슨 상관이세요.
됐다 돼지 냄새나는 놈이랑 무슨 얘기를 하겠니 말시키지마
뭐요?"
1029,기타 괴롭힘 대화,"야 너 왜그렇게 걷냐?
하지마.
너 장애인이냐?
그만해.
니 부모님도 장애인이야?
아니야 제발 가.
니 부모님이 장애인이라 너도 장애인이냐?
하지 마라니깐.
야 애들아 이리와봐 장애인이 말도 한다
제발 그만해."
1067,기타 괴롭힘 대화,"야 이 길동.
네 선배님!
오늘은 왠지 더 커진거 같다? 원래도 어마어마 했지만. 안그러냐?
그러네! 뽕이야?
네? 뭐라고요?
아니 네 키 말이야. 키
얘 다른 생각 했다. 이길동 그렇게 안 봤는데
그게 아니라 누가 들어도 오해할만한 말인거 같은데요.
아 선배가 장난 치는 건데 왜 이렇게 정색해. 우리 길동이 진지충이야?
아 나 진지충이랑 안 노는데."
1130,갈취 대화,"친구야 안녕
네.? 누구
내가 오늘 남자친구랑 22라 돈 좀
저 돈 없는데요
아니 뒤져서 나오면 어떻게 할래
저 정말 없어요
뒤져서 나오면 다 내꺼다
안돼요
뭐가 안돼!!! 내놔
안돼요 주세요"
1134,기타 괴롭힘 대화,"야! 너희 아빠 외국인 노동자라면서? 어느 나라 사람이야?
우리아빠 그냥 일하는 사람이야! 왜?
아 그냥. 아 외노자면 보통 공장에서 일하나? 학교 건너편에 새로 짓고 있는 상가건물 지으시나?
우리 아빠 거기서 일 안하거든!
너 합법적으로 한국 있는건 맞아? 외국인들이 한국에 들어와서 참 물을 더럽혀.
너 나한테 왜그래?
아니 너한테 그러는게 아니라 팩트를 말하는거야 팩트를.
나 행복하게 잘 살고 있다고! 그러지마.
야 지나가는 사람한테 물어봐라. 10명중에 9명은 나랑 같은 생각 할거야. 이 이방인아.
아니라고."
1136,기타 괴롭힘 대화,"지금 지나가는 저 사람 니 남친 뚱뚱한게 꼭 너랑 똑같은 돼지네.
그런 심한말을.! 그런말은 하지 말아줘.
너 지금 나한테 대든거야? 어디서 꼬붕새끼가 말이 많아. 니 엄마도 돼지여서 너가 돼지새끼인거지?
우리 엄마는 그런 사람 아니야.!
꼴에 지 엄마 욕한다고 화낸다. 얘들아돼지가 화나서 날뛰니까 바닥이 울린다.
흑. 제발 그만해.
어 이 새끼 운다? 돼지가 우니까 돼지 육수가 좔좔 나오네? 돼지국밥 공짜로 먹고 좋다.
나 돼지 아니야. 나도 사람이야.!
어디서 돼지새끼가 사람행새를 해.! 닥치지 못해? 얼른 꿀꿀해봐. 소리내봐.
꿀꿀.돼지에요"
